% profit,ema1,ema2,threshold,diff,thresh / diff,ID
3680.963378,41,46,0.19,5,0.038,33
3660.362665,38,50,0.44,12,0.036666667,33
3578.223457,37,51,0.53,14,0.037857143,33
3567.767661,36,52,0.62,16,0.03875,33
3562.535361,37,51,0.52,14,0.037142857,33
3544.70817,40,47,0.27,7,0.038571429,33
3543.996194,53,82,0.87,29,0.03,33
3519.491366,36,52,0.61,16,0.038125,33
3514.925627,51,85,0.94,34,0.027647059,33
3513.896994,39,48,0.35,9,0.038888889,33
3510.144923,53,74,0.72,21,0.034285714,33
3510.144923,52,75,0.79,23,0.034347826,33
3505.439099,35,54,0.69,19,0.036315789,33
3495.394828,52,83,0.93,31,0.03,33
3495.297375,54,81,0.8,27,0.02962963,33
3495.297375,53,82,0.86,29,0.029655172,33
3492.615249,56,70,0.48,14,0.034285714,33
3492.451816,55,71,0.55,16,0.034375,33
3492.451816,54,72,0.62,18,0.034444444,33
3492.451816,53,73,0.69,20,0.0345,33
3492.289425,57,69,0.41,12,0.034166667,33
3487.161562,56,71,0.51,15,0.034,33
3486.998376,55,72,0.58,17,0.034117647,33
3486.998376,54,73,0.65,19,0.034210526,33
3481.162363,47,67,0.49,20,0.0245,33
3472.51626,51,84,0.99,33,0.03,33
3469.169875,52,83,0.92,31,0.029677419,33
3464.643035,35,54,0.71,19,0.037368421,33
3462.40603,51,86,0.95,35,0.027142857,33
3462.275406,57,70,0.44,13,0.033846154,33
3462.015537,35,54,0.7,19,0.036842105,33
3460.490914,50,86,0.99,36,0.0275,33
3459.458306,36,53,0.65,17,0.038235294,33
3455.986462,52,84,0.88,32,0.0275,33
3455.695873,57,68,0.38,11,0.034545455,33
3452.751858,53,83,0.82,30,0.027333333,33
3451.577643,36,53,0.62,17,0.036470588,33
3450.252752,37,51,0.54,14,0.038571429,33
3449.063394,51,84,0.98,33,0.02969697,33
3442.262425,38,50,0.45,12,0.0375,33
3436.530046,56,69,0.45,13,0.034615385,33
3436.530046,55,70,0.52,15,0.034666667,33
3434.233486,53,85,0.92,32,0.02875,33
3432.629137,39,49,0.37,10,0.037,33
3429.17613,51,85,0.93,34,0.027352941,33
3424.473116,52,86,0.98,34,0.028823529,33
3424.253309,40,48,0.3,8,0.0375,33
3421.774961,37,51,0.55,14,0.039285714,33
3419.333328,52,82,0.85,30,0.028333333,33
3415.185969,35,53,0.68,18,0.037777778,33
3415.10139,52,84,0.95,32,0.0296875,33
3414.362034,53,81,0.79,28,0.028214286,33
3408.941297,38,50,0.47,12,0.039166667,33
3400.810089,38,50,0.46,12,0.038333333,33
3400.689775,36,52,0.63,16,0.039375,33
3390.729608,51,84,0.93,33,0.028181818,33
3390.430556,62,75,0.37,13,0.028461538,33
3390.430556,57,81,0.68,24,0.028333333,33
3388.998171,64,72,0.23,8,0.02875,33
3386.131979,51,83,0.91,32,0.0284375,33
3384.43218,53,83,0.89,30,0.029666667,33
3383.392235,36,52,0.6,16,0.0375,33
3382.489433,56,82,0.74,26,0.028461538,33
3382.489433,55,83,0.8,28,0.028571429,33
3382.489433,54,84,0.86,30,0.028666667,33
3380.7446,57,80,0.66,23,0.028695652,33
3380.7446,56,81,0.72,25,0.0288,33
3380.280286,51,62,0.27,11,0.024545455,33
3377.696797,34,54,0.77,20,0.0385,33
3376.786328,54,80,0.73,26,0.028076923,33
3372.694537,60,76,0.47,16,0.029375,33
3372.306454,53,83,0.88,30,0.029333333,33
3372.306454,53,84,0.9,31,0.029032258,33
3372.306454,52,84,0.94,32,0.029375,33
3372.306454,52,85,0.96,33,0.029090909,33
3371.71514,42,47,0.19,5,0.038,33
3371.131948,55,82,0.78,27,0.028888889,33
3371.022482,34,54,0.76,20,0.038,33
3369.313958,49,64,0.37,15,0.024666667,33
3368.733118,52,86,0.99,34,0.029117647,33
3367.141949,50,63,0.32,13,0.024615385,33
3366.986263,34,54,0.78,20,0.039,33
3366.425375,53,84,0.91,31,0.029354839,33
3366.425375,52,85,0.97,33,0.029393939,33
3365.878614,39,49,0.38,10,0.038,33
3361.712091,35,53,0.7,18,0.038888889,33
3358.233392,54,82,0.83,28,0.029642857,33
3357.953919,38,49,0.43,11,0.039090909,33
3357.787246,48,65,0.42,17,0.024705882,33
3357.570992,58,78,0.59,20,0.0295,33
3354.155192,58,88,0.66,30,0.022,33
3353.717476,36,53,0.63,17,0.037058824,33
3352.136334,34,55,0.8,21,0.038095238,33
3351.171741,33,57,0.88,24,0.036666667,33
3350.815616,57,80,0.67,23,0.029130435,33
3350.815616,55,83,0.81,28,0.028928571,33
3345.161452,55,82,0.79,27,0.029259259,33
3345.161452,54,83,0.85,29,0.029310345,33
3342.652369,56,81,0.73,25,0.0292,33
3342.652369,54,84,0.87,30,0.029,33
3342.652369,53,85,0.93,32,0.0290625,33
3341.508837,34,56,0.8,22,0.036363636,33
3340.109052,32,57,0.95,25,0.038,33
3339.598284,39,48,0.34,9,0.037777778,33
3338.60534,33,55,0.86,22,0.039090909,33
3338.15841,34,55,0.77,21,0.036666667,33
3337.203707,33,56,0.87,23,0.037826087,33
3336.681819,51,84,0.92,33,0.027878788,33
3336.475627,50,85,0.99,35,0.028285714,33
