% profit,ema1,ema2,threshold,diff,thresh / diff,ID
3765.801416,58,65,0.25,7,0.035714286,30
3686.266197,50,73,0.83,23,0.036086957,30
3664.011549,53,70,0.61,17,0.035882353,30
3636.617301,55,70,0.53,15,0.035333333,30
3631.155953,52,74,0.77,22,0.035,30
3630.986217,55,71,0.56,16,0.035,30
3630.986217,54,71,0.6,17,0.035294118,30
3630.986217,54,72,0.63,18,0.035,30
3630.986217,53,73,0.7,20,0.035,30
3623.290895,63,69,0.19,6,0.031666667,30
3612.038027,58,74,0.51,16,0.031875,30
3611.348484,63,68,0.16,5,0.032,30
3610.196235,58,69,0.37,11,0.033636364,30
3603.482173,52,84,0.96,32,0.03,30
3583.009894,61,71,0.32,10,0.032,30
3564.856111,54,73,0.66,19,0.034736842,30
3564.856111,53,74,0.73,21,0.034761905,30
3564.856111,52,75,0.8,23,0.034782609,30
3564.856111,51,76,0.87,25,0.0348,30
3563.983214,58,70,0.4,12,0.033333333,30
3555.47911,61,65,0.14,4,0.035,30
3555.47911,60,66,0.21,6,0.035,30
3555.47911,59,67,0.28,8,0.035,30
3555.47911,58,68,0.35,10,0.035,30
3555.47911,57,69,0.42,12,0.035,30
3555.47911,56,70,0.49,14,0.035,30
3546.3498,37,51,0.54,14,0.038571429,30
3546.315237,38,50,0.46,12,0.038333333,30
3540.367767,40,48,0.3,8,0.0375,30
3539.236227,57,70,0.44,13,0.033846154,30
3537.688445,61,70,0.29,9,0.032222222,30
3527.956801,63,67,0.13,4,0.0325,30
3527.910135,55,84,0.83,29,0.02862069,30
3524.945041,59,68,0.31,9,0.034444444,30
3524.780137,58,69,0.38,11,0.034545455,30
3524.780137,57,70,0.45,13,0.034615385,30
3524.780137,56,71,0.52,15,0.034666667,30
3524.780137,55,72,0.59,17,0.034705882,30
3520.068732,51,77,0.89,26,0.034230769,30
3519.607162,39,49,0.38,10,0.038,30
3515.505676,62,64,0.07,2,0.035,30
3510.247346,57,74,0.56,17,0.032941176,30
3510.247346,53,78,0.83,25,0.0332,30
3509.495901,54,85,0.89,31,0.028709677,30
3505.288061,62,68,0.2,6,0.033333333,30
3505.288061,59,71,0.4,12,0.033333333,30
3504.374889,54,77,0.76,23,0.033043478,30
3504.099272,37,51,0.55,14,0.039285714,30
3503.613842,54,73,0.65,19,0.034210526,30
3503.613842,53,74,0.72,21,0.034285714,30
3501.287361,60,67,0.24,7,0.034285714,30
3499.423671,56,74,0.6,18,0.033333333,30
3499.423671,55,75,0.67,20,0.0335,30
3497.059931,42,46,0.15,4,0.0375,30
3496.808212,37,52,0.56,15,0.037333333,30
3494.941347,55,72,0.58,17,0.034117647,30
3490.714498,56,76,0.65,20,0.0325,30
3490.539733,61,69,0.26,8,0.0325,30
3490.539733,59,71,0.39,12,0.0325,30
3487.411318,62,69,0.23,7,0.032857143,30
3484.873813,54,78,0.78,24,0.0325,30
3483.773702,59,72,0.42,13,0.032307692,30
3483.773702,57,74,0.55,17,0.032352941,30
3483.150752,58,74,0.52,16,0.0325,30
3481.291865,59,73,0.45,14,0.032142857,30
3480.482517,53,75,0.75,22,0.034090909,30
3480.482517,52,76,0.82,24,0.034166667,30
3480.109597,57,75,0.58,18,0.032222222,30
3476.684992,58,73,0.49,15,0.032666667,30
3470.130963,55,73,0.61,18,0.033888889,30
3470.130963,54,74,0.68,20,0.034,30
3466.565169,58,80,0.63,22,0.028636364,30
3454.791407,38,50,0.45,12,0.0375,30
3454.145998,39,49,0.37,10,0.037,30
3453.396195,57,73,0.53,16,0.033125,30
3453.227667,60,71,0.36,11,0.032727273,30
3451.105685,56,83,0.76,27,0.028148148,30
3448.793371,36,50,0.56,14,0.04,30
3447.67929,55,76,0.69,21,0.032857143,30
3447.569142,52,72,0.71,20,0.0355,30
3445.22299,64,73,0.26,9,0.028888889,30
3444.705828,55,87,0.88,32,0.0275,30
3444.196131,42,48,0.22,6,0.036666667,30
3443.391696,62,76,0.4,14,0.028571429,30
3442.137097,56,75,0.62,19,0.032631579,30
3442.137097,53,78,0.82,25,0.0328,30
3441.73326,35,54,0.73,19,0.038421053,30
3439.739115,59,78,0.55,19,0.028947368,30
3439.739115,58,79,0.61,21,0.029047619,30
3439.739115,57,81,0.69,24,0.02875,30
3439.739115,56,82,0.75,26,0.028846154,30
3438.314609,61,69,0.27,8,0.03375,30
3437.910654,56,83,0.77,27,0.028518519,30
3436.162151,57,80,0.67,23,0.029130435,30
3436.162151,56,81,0.73,25,0.0292,30
3436.162151,55,82,0.79,27,0.029259259,30
3436.162151,55,83,0.81,28,0.028928571,30
3436.162151,54,83,0.85,29,0.029310345,30
3436.162151,54,84,0.87,30,0.029,30
3436.162151,53,85,0.93,32,0.0290625,30
3432.568503,36,53,0.65,17,0.038235294,30
3432.535019,41,47,0.23,6,0.038333333,30
3432.535019,37,52,0.57,15,0.038,30
3431.835468,35,52,0.68,17,0.04,30
3431.598843,54,84,0.86,30,0.028666667,30
3428.64287,55,77,0.71,22,0.032272727,30
3428.240497,52,79,0.89,27,0.032962963,30
3424.31091,56,72,0.54,16,0.03375,30
3421.904868,62,72,0.31,10,0.031,30
3421.628067,50,78,0.97,28,0.034642857,30
3421.535408,53,89,0.99,36,0.0275,30
3419.644463,63,74,0.32,11,0.029090909,30
3419.307752,56,74,0.61,18,0.033888889,30
3418.998946,53,84,0.91,31,0.029354839,30
3415.147771,62,79,0.45,17,0.026470588,30
3414.922549,59,83,0.63,24,0.02625,30
3414.004154,57,73,0.54,16,0.03375,30
3413.89333,39,51,0.44,12,0.036666667,30
3413.403374,60,78,0.51,18,0.028333333,30
3413.403374,59,79,0.57,20,0.0285,30
3412.255833,35,55,0.74,20,0.037,30
3412.12998,36,53,0.66,17,0.038823529,30
3411.356669,41,48,0.26,7,0.037142857,30
3411.356669,39,50,0.41,11,0.037272727,30
3410.992117,61,77,0.46,16,0.02875,30
3409.995963,61,66,0.17,5,0.034,30
3409.995963,57,71,0.47,14,0.033571429,30
3409.492529,54,81,0.81,27,0.03,30
3409.336721,58,72,0.47,14,0.033571429,30
3407.973234,60,74,0.42,14,0.03,30
3407.790921,60,70,0.33,10,0.033,30
3407.176466,40,48,0.31,8,0.03875,30
3405.434186,35,54,0.75,19,0.039473684,30
3401.232386,56,85,0.81,29,0.027931034,30
3401.232386,55,86,0.87,31,0.028064516,30
3401.232386,54,88,0.94,34,0.027647059,30
3400.953067,61,80,0.5,19,0.026315789,30
3400.203046,55,75,0.68,20,0.034,30
3398.604002,59,70,0.37,11,0.033636364,30
3397.732888,41,46,0.19,5,0.038,30
3397.298774,63,75,0.34,12,0.028333333,30
3397.181568,57,85,0.74,28,0.026428571,30
3396.63191,62,67,0.17,5,0.034,30
3393.072738,58,72,0.46,14,0.032857143,30
3393.072738,56,74,0.59,18,0.032777778,30
3391.88903,57,82,0.71,25,0.0284,30
3391.88903,53,87,0.96,34,0.028235294,30
3391.16077,35,55,0.75,20,0.0375,30
3391.059418,56,82,0.74,26,0.028461538,30
3391.059418,55,84,0.82,29,0.028275862,30
3390.910472,60,81,0.56,21,0.026666667,30
3390.804596,60,73,0.41,13,0.031538462,30
3390.489152,34,56,0.82,22,0.037272727,30
3388.627833,40,50,0.37,10,0.037,30
3387.694829,55,85,0.85,30,0.028333333,30
3385.700927,56,84,0.78,28,0.027857143,30
3385.659325,55,83,0.8,28,0.028571429,30
3385.659325,54,85,0.88,31,0.028387097,30
3385.659325,53,86,0.94,33,0.028484848,30
3385.624705,36,51,0.59,15,0.039333333,30
3385.573232,35,54,0.74,19,0.038947368,30
3384.538417,55,87,0.87,32,0.0271875,30
3384.022142,64,77,0.34,13,0.026153846,30
3383.118322,53,75,0.76,22,0.034545455,30
3383.118322,52,76,0.83,24,0.034583333,30
3383.118322,51,77,0.9,26,0.034615385,30
3381.055629,56,75,0.63,19,0.033157895,30
3379.591802,57,84,0.74,27,0.027407407,30
3379.591802,56,85,0.8,29,0.027586207,30
3377.881414,59,72,0.43,13,0.033076923,30
3377.533301,63,70,0.22,7,0.031428571,30
3376.194098,37,52,0.58,15,0.038666667,30
3373.042811,41,45,0.16,4,0.04,30
3373.042811,40,46,0.24,6,0.04,30
3371.61264,55,88,0.87,33,0.026363636,30
3371.089876,52,86,0.97,34,0.028529412,30
3370.412938,60,70,0.34,10,0.034,30
3370.399302,60,69,0.31,9,0.034444444,30
3367.256526,33,57,0.91,24,0.037916667,30
3367.223661,36,53,0.64,17,0.037647059,30
3367.223661,35,54,0.72,19,0.037894737,30
3366.223635,32,57,0.99,25,0.0396,30
3365.908893,38,52,0.52,14,0.037142857,30
3365.836303,56,71,0.51,15,0.034,30
3365.604504,66,72,0.17,6,0.028333333,30
3365.604504,61,78,0.48,17,0.028235294,30
3365.604504,59,80,0.59,21,0.028095238,30
3365.604504,58,81,0.65,23,0.02826087,30
3365.604504,58,82,0.67,24,0.027916667,30
3365.589151,34,56,0.83,22,0.037727273,30
3365.387393,59,82,0.62,23,0.026956522,30
3365.387393,58,84,0.69,26,0.026538462,30
3365.387393,57,85,0.75,28,0.026785714,30
3365.387393,56,86,0.8,30,0.026666667,30
3365.293138,34,54,0.77,20,0.0385,30
3364.682162,54,76,0.74,22,0.033636364,30
3364.155912,32,56,0.96,24,0.04,30
3363.097867,53,72,0.67,19,0.035263158,30
3362.610465,34,54,0.78,20,0.039,30
3361.574251,54,88,0.93,34,0.027352941,30
3361.283849,33,55,0.87,22,0.039545455,30
3361.262624,53,90,0.99,37,0.026756757,30
3360.880298,63,66,0.1,3,0.033333333,30
3360.243786,57,83,0.73,26,0.028076923,30
3360.243786,55,85,0.84,30,0.028,30
3360.243786,54,86,0.9,32,0.028125,30
3359.940929,36,53,0.67,17,0.039411765,30
3359.650053,55,70,0.52,15,0.034666667,30
3359.252589,39,49,0.39,10,0.039,30
3359.252589,38,50,0.47,12,0.039166667,30
3358.352172,74,91,0.29,17,0.017058824,30
3358.352172,72,93,0.36,21,0.017142857,30
3358.352172,68,98,0.51,30,0.017,30
3357.218103,61,68,0.24,7,0.034285714,30
3357.137237,39,47,0.32,8,0.04,30
3357.137237,38,48,0.4,10,0.04,30
3357.137237,37,49,0.48,12,0.04,30
3356.614592,53,77,0.8,24,0.033333333,30
3356.03196,75,89,0.24,14,0.017142857,30
3356.03196,73,91,0.31,18,0.017222222,30
3355.990849,69,97,0.48,28,0.017142857,30
3355.127982,61,81,0.52,20,0.026,30
3354.174342,71,93,0.38,22,0.017272727,30
3353.544275,52,85,0.98,33,0.02969697,30
3353.031868,61,63,0.07,2,0.035,30
3353.031868,60,64,0.14,4,0.035,30
3353.031868,59,65,0.21,6,0.035,30
3352.569984,58,71,0.44,13,0.033846154,30
3350.376276,56,86,0.81,30,0.027,30
3349.66685,54,89,0.93,35,0.026571429,30
3349.163184,37,50,0.5,13,0.038461538,30
3348.579701,36,51,0.6,15,0.04,30
3346.699201,59,80,0.58,21,0.027619048,30
3346.188445,53,88,0.97,35,0.027714286,30
3345.859571,55,88,0.88,33,0.026666667,30
3345.332681,53,83,0.9,30,0.03,30
3344.855369,53,86,0.95,33,0.028787879,30
3344.772767,56,90,0.85,34,0.025,30
3344.364903,70,95,0.43,25,0.0172,30
3344.364903,68,97,0.5,29,0.017241379,30
3343.56094,55,80,0.75,25,0.03,30
3342.32642,56,84,0.79,28,0.028214286,30
3342.32642,55,86,0.86,31,0.027741935,30
3342.32642,54,87,0.92,33,0.027878788,30
3342.32642,53,88,0.98,35,0.028,30
3342.022451,53,77,0.81,24,0.03375,30
3342.01313,67,99,0.55,32,0.0171875,30
3341.898977,54,82,0.83,28,0.029642857,30
3339.752228,61,82,0.54,21,0.025714286,30
3339.752228,60,83,0.59,23,0.025652174,30
3338.63764,55,87,0.86,32,0.026875,30
3338.261784,55,81,0.78,26,0.03,30
3338.261784,54,82,0.84,28,0.03,30
3337.530958,33,55,0.86,22,0.039090909,30
3335.627914,38,51,0.49,13,0.037692308,30
3333.665753,52,78,0.88,26,0.033846154,30
3333.344048,55,75,0.66,20,0.033,30
3332.804755,52,83,0.95,31,0.030645161,30
3332.510005,54,89,0.94,35,0.026857143,30
3331.922183,56,82,0.77,26,0.029615385,30
3330.469255,56,79,0.69,23,0.03,30
3330.43236,52,86,0.99,34,0.029117647,30
3329.673947,58,77,0.56,19,0.029473684,30
3329.673947,57,78,0.62,21,0.02952381,30
3329.450087,56,86,0.82,30,0.027333333,30
3329.271602,56,87,0.84,31,0.027096774,30
3329.061058,55,82,0.8,27,0.02962963,30
3329.061058,54,83,0.86,29,0.029655172,30
3329.061058,53,84,0.92,31,0.029677419,30
3328.874485,33,56,0.89,23,0.038695652,30
