% profit,ema1,ema2,threshold,diff,thresh / diff,ID
3753.541757,42,74,0.97,32,0.0303125,25
3739.472456,35,63,0.98,28,0.035,25
3687.022938,44,50,0.23,6,0.038333333,25
3682.686031,35,63,0.97,28,0.034642857,25
3671.108448,40,53,0.47,13,0.036153846,25
3658.135513,42,52,0.38,10,0.038,25
3631.669944,36,61,0.9,25,0.036,25
3631.669944,35,62,0.98,27,0.036296296,25
3619.827435,42,54,0.43,12,0.035833333,25
3617.599285,38,58,0.72,20,0.036,25
3613.733923,35,62,0.96,27,0.035555556,25
3613.024535,40,54,0.54,14,0.038571429,25
3612.780218,36,61,0.89,25,0.0356,25
3611.482417,41,56,0.53,15,0.035333333,25
3606.568845,39,61,0.75,22,0.034090909,25
3601.774354,40,55,0.54,15,0.036,25
3580.935175,40,58,0.63,18,0.035,25
3575.682004,39,56,0.65,17,0.038235294,25
3575.682004,38,57,0.73,19,0.038421053,25
3569.613887,42,74,0.98,32,0.030625,25
3565.532864,38,58,0.71,20,0.0355,25
3558.406933,54,77,0.75,23,0.032608696,25
3555.046914,41,53,0.46,12,0.038333333,25
3554.09742,38,57,0.72,19,0.037894737,25
3547.621021,59,71,0.39,12,0.0325,25
3544.422823,42,72,0.83,30,0.027666667,25
3544.207681,34,61,0.98,27,0.036296296,25
3541.845028,44,68,0.76,24,0.031666667,25
3541.177215,42,50,0.3,8,0.0375,25
3539.408004,35,62,0.97,27,0.035925926,25
3538.026636,43,51,0.3,8,0.0375,25
3533.994412,43,51,0.29,8,0.03625,25
3532.91387,42,53,0.41,11,0.037272727,25
3526.952698,46,49,0.11,3,0.036666667,25
3523.837697,43,52,0.33,9,0.036666667,25
3521.956217,44,51,0.26,7,0.037142857,25
3520.37131,51,69,0.47,18,0.026111111,25
3520.130543,59,72,0.42,13,0.032307692,25
3519.601278,43,70,0.84,27,0.031111111,25
3519.474148,41,55,0.5,14,0.035714286,25
3517.056599,61,67,0.2,6,0.033333333,25
3516.084649,45,48,0.11,3,0.036666667,25
3516.067622,36,60,0.86,24,0.035833333,25
3513.010536,44,48,0.15,4,0.0375,25
3511.489312,42,53,0.39,11,0.035454545,25
3511.050893,55,71,0.55,16,0.034375,25
3511.050893,54,72,0.62,18,0.034444444,25
3508.10441,57,74,0.55,17,0.032352941,25
3507.145828,51,76,0.86,25,0.0344,25
3507.145828,50,77,0.93,27,0.034444444,25
3506.472926,51,77,0.89,26,0.034230769,25
3506.434569,41,54,0.46,13,0.035384615,25
3506.18286,37,59,0.79,22,0.035909091,25
3504.013653,45,67,0.69,22,0.031363636,25
3501.550078,63,67,0.13,4,0.0325,25
3500.576276,39,57,0.63,18,0.035,25
3500.288254,58,72,0.46,14,0.032857143,25
3500.260885,52,76,0.82,24,0.034166667,25
3499.07453,39,56,0.61,17,0.035882353,25
3495.625993,40,55,0.56,15,0.037333333,25
3495.625993,39,56,0.64,17,0.037647059,25
3493.173042,69,82,0.25,13,0.019230769,25
3493.173042,68,83,0.29,15,0.019333333,25
3493.173042,67,84,0.33,17,0.019411765,25
3492.497108,47,65,0.51,18,0.028333333,25
3491.312645,62,65,0.1,3,0.033333333,25
3490.524144,35,61,0.98,26,0.037692308,25
3490.406092,38,58,0.7,20,0.035,25
3489.698227,40,75,0.96,35,0.027428571,25
3489.536935,60,84,0.5,24,0.020833333,25
3488.053004,35,62,0.99,27,0.036666667,25
3486.791955,61,69,0.26,8,0.0325,25
3482.690035,50,78,0.96,28,0.034285714,25
3482.180869,38,58,0.73,20,0.0365,25
3481.083889,41,57,0.56,16,0.035,25
3481.011554,58,70,0.4,12,0.033333333,25
