% profit,ema1,ema2,threshold,diff,thresh / diff,ID
4153.710246,40,52,0.44,12,0.036666667,18
4130.525096,43,49,0.22,6,0.036666667,18
4055.959405,39,53,0.52,14,0.037142857,18
4046.583275,35,52,0.66,17,0.038823529,18
4008.310662,38,49,0.42,11,0.038181818,18
3966.93697,37,50,0.5,13,0.038461538,18
3961.027836,42,51,0.32,9,0.035555556,18
3957.45672,34,53,0.75,19,0.039473684,18
3940.817013,35,52,0.67,17,0.039411765,18
3910.66358,42,50,0.29,8,0.03625,18
3887.281663,41,51,0.37,10,0.037,18
3880.749531,34,53,0.74,19,0.038947368,18
3868.404379,37,56,0.69,19,0.036315789,18
3866.698756,38,49,0.43,11,0.039090909,18
3866.698756,37,50,0.51,13,0.039230769,18
3866.698756,36,51,0.59,15,0.039333333,18
3849.713407,36,51,0.57,15,0.038,18
3847.174399,36,51,0.58,15,0.038666667,18
3844.363062,40,52,0.45,12,0.0375,18
3838.736406,36,57,0.77,21,0.036666667,18
3838.29479,38,55,0.61,17,0.035882353,18
3820.796993,33,54,0.83,21,0.03952381,18
3815.188128,33,54,0.82,21,0.039047619,18
3788.400392,38,54,0.6,16,0.0375,18
3781.141251,42,52,0.33,10,0.033,18
3777.958462,39,48,0.34,9,0.037777778,18
3777.773893,41,46,0.19,5,0.038,18
3774.696573,37,55,0.68,18,0.037777778,18
3770.188953,35,53,0.68,18,0.037777778,18
3763.24643,35,52,0.65,17,0.038235294,18
3759.821491,34,53,0.73,19,0.038421053,18
3755.902797,42,52,0.37,10,0.037,18
3755.698502,32,56,0.94,24,0.039166667,18
3755.402182,35,53,0.69,18,0.038333333,18
3755.184844,36,52,0.6,16,0.0375,18
3753.607493,43,50,0.26,7,0.037142857,18
3741.663996,32,56,0.93,24,0.03875,18
3735.296649,37,50,0.49,13,0.037692308,18
3731.571092,41,53,0.44,12,0.036666667,18
3729.971043,38,49,0.41,11,0.037272727,18
3724.573916,40,47,0.26,7,0.037142857,18
3722.535567,34,61,0.94,27,0.034814815,18
3720.174426,40,47,0.27,7,0.038571429,18
3716.71235,40,54,0.52,14,0.037142857,18
3713.631494,32,55,0.9,23,0.039130435,18
3711.040678,37,51,0.52,14,0.037142857,18
3708.856988,35,59,0.86,24,0.035833333,18
3708.788559,39,54,0.54,15,0.036,18
3708.643621,31,57,0.97,26,0.037307692,18
3704.367678,42,49,0.27,7,0.038571429,18
3692.143311,34,54,0.78,20,0.039,18
3690.25239,38,50,0.44,12,0.036666667,18
3685.591285,36,58,0.78,22,0.035454545,18
3680.634792,34,54,0.77,20,0.0385,18
3680.123846,33,55,0.83,22,0.037727273,18
3677.680744,34,60,0.94,26,0.036153846,18
3673.116468,39,48,0.35,9,0.038888889,18
3672.244299,35,59,0.87,24,0.03625,18
3672.133184,34,53,0.76,19,0.04,18
3671.792004,34,54,0.73,20,0.0365,18
3664.86283,41,52,0.4,11,0.036363636,18
3663.132548,37,51,0.53,14,0.037857143,18
3660.838045,37,51,0.51,14,0.036428571,18
3658.580655,43,48,0.19,5,0.038,18
3658.562999,33,55,0.81,22,0.036818182,18
3654.686087,36,52,0.59,16,0.036875,18
3652.319129,37,49,0.49,12,0.040833333,18
3647.706533,36,52,0.61,16,0.038125,18
3647.176443,41,50,0.36,9,0.04,18
3647.011336,32,56,0.9,24,0.0375,18
3645.24102,33,56,0.87,23,0.037826087,18
3645.225928,33,55,0.82,22,0.037272727,18
3641.095453,39,76,0.99,37,0.026756757,18
3639.575433,40,53,0.46,13,0.035384615,18
3639.25314,35,53,0.67,18,0.037222222,18
3639.10545,32,57,0.95,25,0.038,18
3638.419969,40,53,0.47,13,0.036153846,18
3635.152074,34,55,0.79,21,0.037619048,18
3631.049242,33,55,0.85,22,0.038636364,18
3629.165718,32,55,0.91,23,0.039565217,18
3627.175266,42,45,0.11,3,0.036666667,18
3626.100462,32,56,0.91,24,0.037916667,18
3624.945584,37,56,0.7,19,0.036842105,18
3623.870614,36,50,0.58,14,0.041428571,18
3623.762591,33,55,0.86,22,0.039090909,18
3622.272635,38,54,0.59,16,0.036875,18
3621.950643,43,51,0.29,8,0.03625,18
3617.405786,36,50,0.57,14,0.040714286,18
3610.204073,49,63,0.46,14,0.032857143,18
3609.71382,37,49,0.48,12,0.04,18
3608.05607,47,66,0.61,19,0.032105263,18
3606.21507,40,48,0.29,8,0.03625,18
3605.301838,36,56,0.75,20,0.0375,18
3604.757656,31,56,0.99,25,0.0396,18
3600.824056,36,56,0.74,20,0.037,18
3600.049357,46,67,0.68,21,0.032380952,18
3598.007876,39,47,0.31,8,0.03875,18
3596.008544,44,49,0.17,5,0.034,18
3595.247153,39,52,0.48,13,0.036923077,18
3594.689478,37,52,0.53,15,0.035333333,18
3593.253787,38,48,0.4,10,0.04,18
3591.347772,41,50,0.33,9,0.036666667,18
3591.244206,40,51,0.44,11,0.04,18
3590.626824,39,53,0.51,14,0.036428571,18
3588.315796,33,56,0.79,23,0.034347826,18
3586.908514,36,57,0.78,21,0.037142857,18
3584.3897,33,55,0.84,22,0.038181818,18
3583.871439,32,56,0.89,24,0.037083333,18
3583.037075,43,70,0.89,27,0.032962963,18
3580.656052,44,48,0.15,4,0.0375,18
3580.656052,42,50,0.3,8,0.0375,18
3579.390103,40,50,0.38,10,0.038,18
3572.402493,34,61,0.96,27,0.035555556,18
3568.72605,34,54,0.76,20,0.038,18
3567.838203,72,74,0.04,2,0.02,18
3566.182083,37,55,0.66,18,0.036666667,18
3566.002367,38,53,0.57,15,0.038,18
3565.216538,35,59,0.88,24,0.036666667,18
3564.675663,38,53,0.56,15,0.037333333,18
3562.031214,35,53,0.66,18,0.036666667,18
3557.427333,71,75,0.08,4,0.02,18
3557.427333,70,76,0.12,6,0.02,18
3556.463176,43,50,0.24,7,0.034285714,18
3556.1633,31,57,0.98,26,0.037692308,18
3550.236218,31,57,0.99,26,0.038076923,18
3550.133464,42,51,0.31,9,0.034444444,18
3547.838854,39,52,0.49,13,0.037692308,18
3546.806476,36,58,0.8,22,0.036363636,18
3544.283495,37,55,0.67,18,0.037222222,18
3543.841658,41,53,0.4,12,0.033333333,18
3542.110619,42,72,0.98,30,0.032666667,18
3541.094718,34,54,0.75,20,0.0375,18
3541.064454,32,56,0.92,24,0.038333333,18
3540.91894,34,60,0.96,26,0.036923077,18
3539.517329,43,50,0.25,7,0.035714286,18
3538.78163,37,57,0.72,20,0.036,18
3536.849068,35,58,0.87,23,0.037826087,18
3534.597599,44,47,0.11,3,0.036666667,18
3532.520637,40,51,0.41,11,0.037272727,18
3531.922393,35,57,0.81,22,0.036818182,18
3530.711172,39,58,0.67,19,0.035263158,18
3530.61628,33,54,0.81,21,0.038571429,18
3530.572931,39,55,0.54,16,0.03375,18
3529.999888,36,57,0.79,21,0.037619048,18
3528.80019,62,85,0.46,23,0.02,18
3525.97739,38,55,0.62,17,0.036470588,18
3524.572006,42,72,0.81,30,0.027,18
3524.100933,38,47,0.38,9,0.042222222,18
3524.022601,41,53,0.43,12,0.035833333,18
3523.835302,61,70,0.29,9,0.032222222,18
3523.835302,57,74,0.55,17,0.032352941,18
3522.382834,35,57,0.83,22,0.037727273,18
3519.467508,36,52,0.58,16,0.03625,18
3518.743461,40,57,0.6,17,0.035294118,18
3517.551314,34,52,0.75,18,0.041666667,18
3517.162546,38,57,0.63,19,0.033157895,18
3513.16732,44,49,0.18,5,0.036,18
3513.131377,39,49,0.36,10,0.036,18
3512.070958,44,69,0.82,25,0.0328,18
3509.147146,38,48,0.41,10,0.041,18
3509.100225,34,58,0.91,24,0.037916667,18
3508.612492,39,54,0.53,15,0.035333333,18
3506.203058,48,64,0.53,16,0.033125,18
3503.916636,40,54,0.47,14,0.033571429,18
3503.448294,40,55,0.49,15,0.032666667,18
3503.423077,55,76,0.68,21,0.032380952,18
3501.847718,41,51,0.36,10,0.036,18
3500.327585,43,47,0.15,4,0.0375,18
3500.017591,37,54,0.64,17,0.037647059,18
3499.341381,39,54,0.55,15,0.036666667,18
3498.405189,42,47,0.21,5,0.042,18
3498.106976,44,50,0.2,6,0.033333333,18
3497.528959,36,56,0.73,20,0.0365,18
3497.02256,34,60,0.97,26,0.037307692,18
3496.899794,63,67,0.13,4,0.0325,18
3495.818885,40,50,0.41,10,0.041,18
3492.746958,33,54,0.84,21,0.04,18
3492.356698,37,58,0.7,21,0.033333333,18
3492.211621,63,69,0.19,6,0.031666667,18
3492.08832,38,53,0.61,15,0.040666667,18
3491.827905,47,65,0.6,18,0.033333333,18
3490.380115,32,57,0.91,25,0.0364,18
3487.653034,59,72,0.42,13,0.032307692,18
3487.653034,56,76,0.64,20,0.032,18
3486.938821,58,73,0.48,15,0.032,18
3486.787611,39,51,0.49,12,0.040833333,18
3485.270487,42,44,0.08,2,0.04,18
3485.270487,41,45,0.16,4,0.04,18
3484.445191,35,51,0.66,16,0.04125,18
3484.334398,39,51,0.46,12,0.038333333,18
3483.045644,35,60,0.9,25,0.036,18
3482.054826,34,59,0.9,25,0.036,18
3481.482416,36,51,0.6,15,0.04,18
3481.14917,54,73,0.65,19,0.034210526,18
3480.993734,38,54,0.58,16,0.03625,18
3479.153132,37,54,0.63,17,0.037058824,18
3479.148013,38,57,0.68,19,0.035789474,18
3477.944102,40,51,0.42,11,0.038181818,18
3477.584691,34,54,0.74,20,0.037,18
3476.639291,63,68,0.16,5,0.032,18
3476.639291,61,69,0.26,8,0.0325,18
3476.639291,59,71,0.39,12,0.0325,18
3473.821799,35,57,0.82,22,0.037272727,18
3471.293093,42,49,0.26,7,0.037142857,18
3470.628067,39,55,0.57,16,0.035625,18
3470.127685,37,55,0.65,18,0.036111111,18
3470.094665,62,71,0.28,9,0.031111111,18
3469.95374,33,60,0.98,27,0.036296296,18
3469.563162,33,54,0.85,21,0.04047619,18
3469.151801,34,58,0.89,24,0.037083333,18
3468.566558,40,46,0.24,6,0.04,18
3467.728907,41,52,0.38,11,0.034545455,18
3467.693538,38,56,0.64,18,0.035555556,18
3467.39355,68,75,0.18,7,0.025714286,18
3467.005497,40,46,0.23,6,0.038333333,18
3466.265487,53,58,0.14,5,0.028,18
3466.206968,35,58,0.84,23,0.036521739,18
3466.136774,41,56,0.52,15,0.034666667,18
3465.556451,69,77,0.16,8,0.02,18
3465.556451,68,78,0.2,10,0.02,18
3465.200621,44,52,0.28,8,0.035,18
3465.200621,43,53,0.35,10,0.035,18
3465.001053,61,83,0.56,22,0.025454545,18
3464.858684,40,51,0.43,11,0.039090909,18
3464.693252,63,81,0.46,18,0.025555556,18
3464.693252,62,82,0.51,20,0.0255,18
3464.540759,39,52,0.5,13,0.038461538,18
3463.886007,39,49,0.37,10,0.037,18
3463.46868,35,52,0.68,17,0.04,18
3462.51686,37,57,0.7,20,0.035,18
3462.302566,57,89,0.8,32,0.025,18
3461.446757,43,52,0.32,9,0.035555556,18
3461.446757,42,53,0.39,11,0.035454545,18
3461.280108,40,54,0.5,14,0.035714286,18
3460.987436,35,54,0.7,19,0.036842105,18
3460.564866,36,55,0.72,19,0.037894737,18
3460.318433,39,53,0.5,14,0.035714286,18
3459.074841,36,53,0.62,17,0.036470588,18
3458.985928,37,57,0.71,20,0.0355,18
3458.983889,36,58,0.77,22,0.035,18
3458.193077,61,84,0.58,23,0.025217391,18
3455.728532,40,45,0.21,5,0.042,18
3455.335768,35,58,0.82,23,0.035652174,18
3454.716191,41,50,0.35,9,0.038888889,18
3454.28278,57,88,0.79,31,0.025483871,18
3453.38293,57,76,0.6,19,0.031578947,18
3453.044276,36,60,0.78,24,0.0325,18
3450.894371,37,56,0.63,19,0.033157895,18
3450.488791,34,60,0.95,26,0.036538462,18
3449.584428,40,51,0.4,11,0.036363636,18
3448.265091,40,52,0.43,12,0.035833333,18
3448.233758,38,55,0.63,17,0.037058824,18
