% profit,ema1,ema2,threshold,diff,thresh / diff,ID
3951.103002,67,69,0.06,2,0.03,0
3951.103002,66,70,0.12,4,0.03,0
3951.103002,65,71,0.18,6,0.03,0
3748.252717,59,69,0.33,10,0.033,0
3743.190374,59,70,0.36,11,0.032727273,0
3684.970476,61,68,0.23,7,0.032857143,0
3684.970476,57,73,0.52,16,0.0325,0
3684.970476,56,73,0.56,17,0.032941176,0
3647.845132,61,67,0.2,6,0.033333333,0
3647.845132,58,70,0.4,12,0.033333333,0
3617.394373,55,73,0.6,18,0.033333333,0
3607.029456,60,67,0.24,7,0.034285714,0
3606.367099,61,66,0.17,5,0.034,0
3572.358038,53,76,0.78,23,0.033913043,0
3569.874159,56,72,0.55,16,0.034375,0
3569.874159,55,73,0.62,18,0.034444444,0
3567.668086,56,72,0.54,16,0.03375,0
3566.8161,55,74,0.63,19,0.033157895,0
3566.8161,53,77,0.79,24,0.032916667,0
3566.728386,54,74,0.67,20,0.0335,0
3565.615736,58,71,0.43,13,0.033076923,0
3565.084122,60,68,0.27,8,0.03375,0
3565.084122,56,73,0.57,17,0.033529412,0
3565.053033,59,69,0.34,10,0.034,0
3565.053033,55,74,0.64,19,0.033684211,0
3564.110029,54,75,0.7,21,0.033333333,0
3560.589082,57,71,0.48,14,0.034285714,0
3557.910181,57,71,0.47,14,0.033571429,0
3550.664557,51,79,0.93,28,0.033214286,0
3550.663995,52,78,0.86,26,0.033076923,0
3546.808756,58,70,0.41,12,0.034166667,0
3546.499241,53,75,0.74,22,0.033636364,0
3545.654822,54,75,0.71,21,0.033809524,0
3544.486899,57,72,0.5,15,0.033333333,0
3544.486899,53,76,0.77,23,0.033478261,0
3540.205502,61,68,0.24,7,0.034285714,0
3524.003677,59,71,0.39,12,0.0325,0
3516.540453,58,67,0.31,9,0.034444444,0
3516.540453,57,68,0.38,11,0.034545455,0
3504.621137,52,76,0.81,24,0.03375,0
3503.007474,50,79,0.99,29,0.034137931,0
3499.083895,56,69,0.45,13,0.034615385,0
3499.083895,55,70,0.52,15,0.034666667,0
3497.800048,56,71,0.52,15,0.034666667,0
3496.425767,56,74,0.59,18,0.032777778,0
3496.162025,54,74,0.69,20,0.0345,0
3493.891575,51,78,0.92,27,0.034074074,0
3493.09665,58,69,0.38,11,0.034545455,0
3493.09665,57,70,0.45,13,0.034615385,0
3486.142286,62,65,0.1,3,0.033333333,0
3482.130095,53,77,0.8,24,0.033333333,0
3480.474651,59,68,0.3,9,0.033333333,0
3471.146392,52,77,0.85,25,0.034,0
3470.671464,55,75,0.66,20,0.033,0
3470.513799,59,68,0.31,9,0.034444444,0
3469.671148,51,77,0.89,26,0.034230769,0
3466.585698,55,73,0.61,18,0.033888889,0
3466.585698,54,74,0.68,20,0.034,0
3466.585698,52,77,0.84,25,0.0336,0
3463.140549,52,78,0.87,26,0.033461538,0
3463.140549,51,79,0.94,28,0.033571429,0
3461.99906,54,76,0.73,22,0.033181818,0
3457.78051,53,73,0.69,20,0.0345,0
3457.78051,52,74,0.76,22,0.034545455,0
3457.78051,51,75,0.83,24,0.034583333,0
3457.770451,63,75,0.35,12,0.029166667,0
3457.354219,44,49,0.19,5,0.038,0
3448.552586,53,77,0.82,24,0.034166667,0
3447.70865,51,78,0.91,27,0.033703704,0
3443.961838,59,79,0.59,20,0.0295,0
3443.010298,53,75,0.75,22,0.034090909,0
3443.010298,52,76,0.82,24,0.034166667,0
3442.101757,50,79,0.98,29,0.033793103,0
3440.425883,38,57,0.7,19,0.036842105,0
3430.226657,59,77,0.55,18,0.030555556,0
3423.524939,52,78,0.88,26,0.033846154,0
3423.524939,51,79,0.95,28,0.033928571,0
3421.142269,54,75,0.72,21,0.034285714,0
3420.136589,60,78,0.53,18,0.029444444,0
3417.806259,58,69,0.37,11,0.033636364,0
3413.997091,59,67,0.27,8,0.03375,0
3410.662629,51,62,0.34,11,0.030909091,0
3410.267512,62,76,0.41,14,0.029285714,0
3409.215837,63,66,0.1,3,0.033333333,0
3409.215837,60,69,0.3,9,0.033333333,0
3409.186069,59,70,0.37,11,0.033636364,0
3396.615239,60,77,0.51,17,0.03,0
3395.211876,40,54,0.53,14,0.037857143,0
3391.941762,61,74,0.4,13,0.030769231,0
3390.613361,55,75,0.67,20,0.0335,0
3389.262342,61,77,0.47,16,0.029375,0
3376.067932,62,73,0.34,11,0.030909091,0
3372.652066,57,70,0.44,13,0.033846154,0
3369.334558,40,54,0.52,14,0.037142857,0
3366.935246,58,68,0.34,10,0.034,0
3365.824072,49,64,0.46,15,0.030666667,0
3363.502986,67,88,0.39,21,0.018571429,0
3361.039669,57,69,0.41,12,0.034166667,0
3361.039669,56,70,0.48,14,0.034285714,0
3360.564224,65,91,0.48,26,0.018461538,0
3359.327469,49,66,0.51,17,0.03,0
3357.955879,54,76,0.74,22,0.033636364,0
3356.480695,42,69,0.92,27,0.034074074,0
3351.80412,53,77,0.81,24,0.03375,0
3350.004137,58,78,0.61,20,0.0305,0
3349.469949,55,74,0.65,19,0.034210526,0
3348.648428,61,78,0.49,17,0.028823529,0
3348.648428,60,79,0.55,19,0.028947368,0
3344.184146,58,81,0.66,23,0.028695652,0
3341.182085,70,83,0.25,13,0.019230769,0
3340.742512,62,67,0.17,5,0.034,0
