% profit,ema1,ema2,threshold,diff,thresh / diff,ID
3984.11891,52,83,0.93,31,0.03,35
3956.134382,51,84,0.99,33,0.03,35
3954.602204,52,73,0.73,21,0.034761905,35
3943.478264,59,67,0.27,8,0.03375,35
3855.154261,51,77,0.88,26,0.033846154,35
3853.260756,57,68,0.38,11,0.034545455,35
3847.929716,54,71,0.59,17,0.034705882,35
3847.929716,53,72,0.66,19,0.034736842,35
3845.702607,55,84,0.79,29,0.027241379,35
3845.702607,53,86,0.9,33,0.027272727,35
3845.702607,52,87,0.96,35,0.027428571,35
3841.750684,59,66,0.24,7,0.034285714,35
3841.311903,59,68,0.3,9,0.033333333,35
3838.434784,56,69,0.45,13,0.034615385,35
3838.434784,55,70,0.52,15,0.034666667,35
3835.494493,58,67,0.31,9,0.034444444,35
3824.732965,58,80,0.61,22,0.027727273,35
3819.73036,52,88,0.97,36,0.026944444,35
3817.910561,54,85,0.85,31,0.027419355,35
3804.141812,54,72,0.62,18,0.034444444,35
3804.141812,53,73,0.69,20,0.0345,35
3798.031314,58,68,0.34,10,0.034,35
3776.328563,53,84,0.89,31,0.028709677,35
3765.127435,54,82,0.82,28,0.029285714,35
3765.127435,53,83,0.88,30,0.029333333,35
3765.127435,52,84,0.94,32,0.029375,35
3765.127435,52,85,0.96,33,0.029090909,35
3759.121587,50,76,0.9,26,0.034615385,35
3755.11043,57,82,0.68,25,0.0272,35
3746.858289,52,85,0.95,33,0.028787879,35
3745.372212,55,83,0.78,28,0.027857143,35
3745.372212,54,84,0.84,30,0.028,35
3745.344734,51,76,0.86,25,0.0344,35
3745.344734,50,77,0.93,27,0.034444444,35
3740.684117,52,74,0.76,22,0.034545455,35
3740.684117,51,75,0.83,24,0.034583333,35
3738.089456,56,83,0.73,27,0.027037037,35
3735.361392,52,88,0.98,36,0.027222222,35
3734.615489,52,86,0.95,34,0.027941176,35
3731.101323,53,82,0.87,29,0.03,35
3730.747229,54,83,0.83,29,0.02862069,35
3727.63119,55,84,0.8,29,0.027586207,35
3727.63119,54,85,0.86,31,0.027741935,35
3726.431504,57,81,0.67,24,0.027916667,35
3721.322593,52,84,0.95,32,0.0296875,35
3719.677814,53,84,0.9,31,0.029032258,35
3719.677814,52,86,0.98,34,0.028823529,35
3715.430657,56,82,0.73,26,0.028076923,35
3715.430657,55,83,0.79,28,0.028214286,35
3715.430657,53,85,0.9,32,0.028125,35
3715.430657,53,86,0.92,33,0.027878788,35
3715.430657,52,86,0.96,34,0.028235294,35
3715.430657,52,87,0.98,35,0.028,35
3713.519607,55,82,0.77,27,0.028518519,35
3713.519607,54,84,0.85,30,0.028333333,35
3713.519607,53,85,0.91,32,0.0284375,35
3704.306463,53,86,0.91,33,0.027575758,35
3701.623493,52,86,0.97,34,0.028529412,35
3690.039116,52,87,0.97,35,0.027714286,35
3686.181856,56,83,0.74,27,0.027407407,35
3681.355853,54,86,0.86,32,0.026875,35
3679.600297,53,87,0.92,34,0.027058824,35
3639.478199,58,81,0.62,23,0.026956522,35
3628.879894,53,87,0.91,34,0.026764706,35
3528.297039,62,72,0.29,10,0.029,35
3512.123294,54,73,0.65,19,0.034210526,35
3501.580612,54,81,0.79,27,0.029259259,35
3489.619295,53,86,0.93,33,0.028181818,35
3486.500764,52,83,0.92,31,0.029677419,35
3484.086032,53,82,0.85,29,0.029310345,35
3483.059809,62,65,0.1,3,0.033333333,35
3481.31205,54,81,0.78,27,0.028888889,35
3481.31205,53,82,0.84,29,0.028965517,35
3479.760293,63,71,0.23,8,0.02875,35
3476.911575,56,80,0.68,24,0.028333333,35
3475.485573,55,80,0.72,25,0.0288,35
3475.289281,55,81,0.73,26,0.028076923,35
3474.066625,57,79,0.62,22,0.028181818,35
3471.940048,52,84,0.92,32,0.02875,35
3468.708171,59,79,0.55,20,0.0275,35
3468.43625,54,83,0.81,29,0.027931034,35
3466.920434,53,84,0.87,31,0.028064516,35
3466.201867,60,75,0.43,15,0.028666667,35
3462.328764,52,87,0.99,35,0.028285714,35
3458.725365,57,81,0.66,24,0.0275,35
3457.93767,62,71,0.28,9,0.031111111,35
3456.021708,57,80,0.64,23,0.027826087,35
3455.876333,53,83,0.86,30,0.028666667,35
3453.16796,58,77,0.54,19,0.028421053,35
3452.925999,53,74,0.72,21,0.034285714,35
3452.925999,52,75,0.79,23,0.034347826,35
3445.799731,58,78,0.56,20,0.028,35
3445.228634,57,78,0.6,21,0.028571429,35
3444.073274,52,84,0.93,32,0.0290625,35
3444.027709,64,70,0.17,6,0.028333333,35
3441.638503,61,73,0.35,12,0.029166667,35
3440.732221,56,70,0.48,14,0.034285714,35
3440.732221,55,71,0.55,16,0.034375,35
3439.812334,56,82,0.72,26,0.027692308,35
3438.702858,58,79,0.59,21,0.028095238,35
3438.368409,51,85,0.99,34,0.029117647,35
3437.123045,59,78,0.53,19,0.027894737,35
3432.841428,53,88,0.93,35,0.026571429,35
3431.201249,55,85,0.81,30,0.027,35
3430.818258,59,77,0.51,18,0.028333333,35
3430.287721,56,81,0.7,25,0.028,35
3428.826379,60,76,0.45,16,0.028125,35
3428.171969,55,72,0.58,17,0.034117647,35
3426.475389,55,82,0.75,27,0.027777778,35
3426.020858,57,83,0.7,26,0.026923077,35
3424.819893,57,69,0.41,12,0.034166667,35
3424.600602,54,84,0.83,30,0.027666667,35
3424.600602,54,85,0.84,31,0.027096774,35
3424.084084,56,84,0.76,28,0.027142857,35
3423.200946,58,76,0.52,18,0.028888889,35
3421.922869,55,83,0.77,28,0.0275,35
3421.650725,53,82,0.86,29,0.029655172,35
3420.776302,59,75,0.46,16,0.02875,35
3418.511842,36,53,0.63,17,0.037058824,35
3415.837173,61,66,0.17,5,0.034,35
3415.484721,57,69,0.42,12,0.035,35
3415.484721,56,70,0.49,14,0.035,35
3415.484721,55,71,0.56,16,0.035,35
3415.484721,54,72,0.63,18,0.035,35
3415.484721,53,74,0.73,21,0.034761905,35
3415.484721,52,75,0.8,23,0.034782609,35
3415.484721,51,76,0.87,25,0.0348,35
3415.171245,56,71,0.51,15,0.034,35
3414.347758,59,80,0.57,21,0.027142857,35
3413.800256,55,81,0.76,26,0.029230769,35
3410.834708,56,79,0.66,23,0.028695652,35
3408.965194,58,79,0.6,21,0.028571429,35
3406.792079,62,75,0.36,13,0.027692308,35
3406.650144,54,82,0.81,28,0.028928571,35
3406.650144,53,83,0.87,30,0.029,35
3406.287996,61,74,0.37,13,0.028461538,35
3405.033198,60,74,0.41,14,0.029285714,35
3405.033198,59,75,0.47,16,0.029375,35
3405.033198,58,76,0.53,18,0.029444444,35
3404.936687,57,70,0.44,13,0.033846154,35
3403.858691,59,76,0.48,17,0.028235294,35
3403.112783,35,54,0.72,19,0.037894737,35
3403.112783,34,55,0.8,21,0.038095238,35
3402.81113,56,85,0.77,29,0.026551724,35
3402.81113,54,88,0.9,34,0.026470588,35
3402.758715,61,72,0.32,11,0.029090909,35
3401.497142,57,78,0.61,21,0.029047619,35
3400.307936,60,75,0.42,15,0.028,35
3399.625273,62,73,0.31,11,0.028181818,35
3399.426629,64,71,0.2,7,0.028571429,35
3399.059847,60,73,0.38,13,0.029230769,35
3398.729291,56,80,0.69,24,0.02875,35
3397.416394,55,81,0.74,26,0.028461538,35
3397.416394,54,82,0.8,28,0.028571429,35
3396.976868,55,81,0.75,26,0.028846154,35
3396.592714,56,80,0.67,24,0.027916667,35
3396.484377,38,50,0.46,12,0.038333333,35
3396.4,50,78,0.96,28,0.034285714,35
3396.078809,65,70,0.14,5,0.028,35
3395.860811,55,80,0.73,25,0.0292,35
3395.284878,53,84,0.88,31,0.028387097,35
3394.935211,59,78,0.54,19,0.028421053,35
3394.801476,54,87,0.88,33,0.026666667,35
3394.801476,53,88,0.94,35,0.026857143,35
3394.801476,53,89,0.95,36,0.026388889,35
3392.07878,52,88,0.96,36,0.026666667,35
3391.67396,57,79,0.61,22,0.027727273,35
3391.637057,56,79,0.67,23,0.029130435,35
3389.218101,36,52,0.61,16,0.038125,35
3388.762286,58,68,0.35,10,0.035,35
3388.437,54,80,0.78,26,0.03,35
3386.457056,60,77,0.47,17,0.027647059,35
3386.457056,58,79,0.58,21,0.027619048,35
3386.054349,54,86,0.87,32,0.0271875,35
3385.986307,37,51,0.53,14,0.037857143,35
3384.100959,56,86,0.79,30,0.026333333,35
3384.100959,53,90,0.97,37,0.026216216,35
3382.867004,54,81,0.81,27,0.03,35
3382.374789,54,82,0.83,28,0.029642857,35
3382.287846,57,80,0.66,23,0.028695652,35
3382.287846,56,81,0.72,25,0.0288,35
3381.956198,62,76,0.38,14,0.027142857,35
3381.956198,60,78,0.49,18,0.027222222,35
3381.956198,58,80,0.6,22,0.027272727,35
3377.017543,55,80,0.74,25,0.0296,35
3377.017543,54,81,0.8,27,0.02962963,35
3376.017188,61,73,0.34,12,0.028333333,35
3376.017188,60,74,0.4,14,0.028571429,35
3374.448861,55,86,0.83,31,0.026774194,35
3373.977127,53,83,0.89,30,0.029666667,35
3373.977127,52,85,0.97,33,0.029393939,35
3373.047205,54,84,0.82,30,0.027333333,35
3372.580315,14,17,0.08,3,0.026666667,35
3372.561293,51,73,0.78,22,0.035454545,35
3372.481853,57,79,0.64,22,0.029090909,35
3372.481853,56,80,0.7,24,0.029166667,35
3372.481853,55,82,0.78,27,0.028888889,35
3372.481853,54,83,0.84,29,0.028965517,35
3372.12219,59,76,0.49,17,0.028823529,35
