% profit,ema1,ema2,threshold,diff,thresh / diff,ID
4156.152701,54,71,0.58,17,0.034117647,41
4148.048625,55,73,0.59,18,0.032777778,41
4144.735955,56,70,0.47,14,0.033571429,41
4144.022047,57,79,0.67,22,0.030454545,41
4142.683996,55,70,0.51,15,0.034,41
4139.522915,57,69,0.4,12,0.033333333,41
4126.53809,56,80,0.73,24,0.030416667,41
4123.144423,55,71,0.54,16,0.03375,41
4118.685741,57,70,0.43,13,0.033076923,41
4118.599854,58,78,0.61,20,0.0305,41
4116.129351,54,72,0.61,18,0.033888889,41
4116.129351,50,77,0.91,27,0.033703704,41
4114.675789,60,66,0.2,6,0.033333333,41
4114.041123,55,81,0.79,26,0.030384615,41
4107.977374,61,74,0.4,13,0.030769231,41
4107.643434,51,76,0.84,25,0.0336,41
4105.455564,53,76,0.75,23,0.032608696,41
4103.624312,54,73,0.63,19,0.033157895,41
4103.483295,60,65,0.17,5,0.034,41
4101.432188,58,70,0.39,12,0.0325,41
4093.901057,53,72,0.65,19,0.034210526,41
4084.585436,63,73,0.3,10,0.03,41
4084.585436,62,74,0.36,12,0.03,41
4084.585436,61,75,0.42,14,0.03,41
4084.585436,60,76,0.48,16,0.03,41
4082.261408,54,74,0.66,20,0.033,41
4081.745006,64,72,0.24,8,0.03,41
4078.995351,59,77,0.54,18,0.03,41
4072.063814,58,77,0.58,19,0.030526316,41
4071.122042,60,67,0.23,7,0.032857143,41
4069.878954,58,69,0.36,11,0.032727273,41
4064.989571,59,76,0.52,17,0.030588235,41
4057.647234,52,77,0.82,25,0.0328,41
4050.386024,53,73,0.68,20,0.034,41
4050.386024,52,74,0.75,22,0.034090909,41
4048.897685,60,75,0.46,15,0.030666667,41
4040.181982,60,75,0.45,15,0.03,41
4034.25252,53,83,0.92,30,0.030666667,41
4032.672328,58,78,0.6,20,0.03,41
4031.480145,53,74,0.7,21,0.033333333,41
4031.480145,52,75,0.77,23,0.033478261,41
4030.265473,57,78,0.64,21,0.03047619,41
4011.133265,52,76,0.8,24,0.033333333,41
4007.098712,51,77,0.87,26,0.033461538,41
4004.107614,62,75,0.38,13,0.029230769,41
4004.107614,61,76,0.44,15,0.029333333,41
4004.107614,60,77,0.5,17,0.029411765,41
4002.858676,53,75,0.73,22,0.033181818,41
3999.986165,50,76,0.89,26,0.034230769,41
3999.777691,51,75,0.82,24,0.034166667,41
3995.561774,59,71,0.38,12,0.031666667,41
3993.391934,50,79,0.96,29,0.033103448,41
3992.196573,67,68,0.03,1,0.03,41
3992.196573,66,69,0.09,3,0.03,41
3992.196573,65,70,0.15,5,0.03,41
3992.196573,64,71,0.21,7,0.03,41
3992.196573,63,72,0.27,9,0.03,41
3992.196573,62,73,0.33,11,0.03,41
3991.505557,57,79,0.66,22,0.03,41
3984.229699,58,71,0.42,13,0.032307692,41
3984.229699,56,73,0.55,17,0.032352941,41
3981.570627,56,79,0.71,23,0.030869565,41
3980.240748,54,82,0.86,28,0.030714286,41
3978.59454,51,78,0.89,27,0.032962963,41
