% profit,ema1,ema2,threshold,diff,thresh / diff,ID
3683.249665,32,57,0.88,25,0.0352,5
3523.785861,31,59,0.98,28,0.035,5
3505.193691,31,58,0.95,27,0.035185185,5
3461.249295,31,58,0.97,27,0.035925926,5
3439.495737,33,56,0.81,23,0.035217391,5
3436.783967,35,53,0.64,18,0.035555556,5
3428.347486,34,54,0.72,20,0.036,5
3416.629852,34,55,0.74,21,0.035238095,5
3406.550238,34,54,0.71,20,0.0355,5
3401.98989,33,55,0.79,22,0.035909091,5
3398.336825,31,58,0.96,27,0.035555556,5
3397.451683,32,58,0.91,26,0.035,5
3366.647677,32,57,0.89,25,0.0356,5
3363.728092,33,56,0.82,23,0.035652174,5
3362.922956,59,71,0.39,12,0.0325,5
3361.997567,61,68,0.23,7,0.032857143,5
3358.431605,61,67,0.2,6,0.033333333,5
3351.444764,36,52,0.57,16,0.035625,5
3350.772193,32,57,0.87,25,0.0348,5
3337.872179,32,56,0.87,24,0.03625,5
3330.6707,58,70,0.4,12,0.033333333,5
3305.759535,37,51,0.5,14,0.035714286,5
3294.749699,58,71,0.43,13,0.033076923,5
3281.086175,56,74,0.59,18,0.032777778,5
3250.550354,35,54,0.67,19,0.035263158,5
3244.498993,60,68,0.27,8,0.03375,5
3243.012337,32,58,0.89,26,0.034230769,5
3241.841989,54,75,0.7,21,0.033333333,5
3241.779281,55,74,0.64,19,0.033684211,5
3236.905746,60,69,0.3,9,0.033333333,5
3236.905746,57,72,0.5,15,0.033333333,5
3236.905746,54,76,0.73,22,0.033181818,5
3235.813705,55,75,0.66,20,0.033,5
3230.360164,31,58,0.98,27,0.036296296,5
3226.71986,52,78,0.87,26,0.033461538,5
3223.773929,55,74,0.65,19,0.034210526,5
3223.527993,59,69,0.34,10,0.034,5
3222.784499,56,73,0.57,17,0.033529412,5
3219.139833,36,53,0.6,17,0.035294118,5
3215.108551,55,73,0.61,18,0.033888889,5
3215.016951,57,71,0.47,14,0.033571429,5
3213.64819,33,56,0.8,23,0.034782609,5
3209.82473,60,67,0.24,7,0.034285714,5
3205.700011,51,79,0.95,28,0.033928571,5
3205.612486,53,77,0.8,24,0.033333333,5
3205.273314,54,75,0.72,21,0.034285714,5
3205.273314,53,76,0.79,23,0.034347826,5
3201.174551,58,72,0.46,14,0.032857143,5
3200.988335,56,72,0.54,16,0.03375,5
3195.74913,59,68,0.31,9,0.034444444,5
3195.74913,58,69,0.38,11,0.034545455,5
3195.087749,51,79,0.94,28,0.033571429,5
3193.669069,61,66,0.17,5,0.034,5
3191.334332,54,75,0.71,21,0.033809524,5
3191.334332,53,76,0.78,23,0.033913043,5
3185.284219,58,70,0.41,12,0.034166667,5
3185.284219,57,71,0.48,14,0.034285714,5
3185.284219,56,72,0.55,16,0.034375,5
3181.05015,53,76,0.77,23,0.033478261,5
3179.676102,34,55,0.73,21,0.034761905,5
3175.457456,52,77,0.86,25,0.0344,5
3167.125307,33,57,0.82,24,0.034166667,5
3158.913172,55,73,0.62,18,0.034444444,5
3158.913172,52,77,0.85,25,0.034,5
3149.725224,63,66,0.1,3,0.033333333,5
3140.549692,63,67,0.13,4,0.0325,5
3140.549692,61,69,0.26,8,0.0325,5
3137.857627,41,53,0.38,12,0.031666667,5
3137.391549,56,85,0.79,29,0.027241379,5
