% profit,ema1,ema2,threshold,diff,thresh / diff,ID
3422.112567,5,12,0.42,7,0.06,52
3305.399521,68,69,0.03,1,0.03,52
3289.256807,4,16,0.64,12,0.053333333,52
3258.440176,67,70,0.09,3,0.03,52
3258.440176,66,71,0.15,5,0.03,52
3258.440176,65,72,0.21,7,0.03,52
3179.566662,6,11,0.28,5,0.056,52
3150.754783,5,12,0.44,7,0.062857143,52
3129.962528,5,13,0.46,8,0.0575,52
3128.640932,61,68,0.23,7,0.032857143,52
3128.048907,5,12,0.43,7,0.061428571,52
3114.44634,56,71,0.51,15,0.034,52
3114.44634,55,72,0.58,17,0.034117647,52
3107.763098,58,71,0.43,13,0.033076923,52
3100.070574,54,73,0.65,19,0.034210526,52
3098.186011,5,13,0.49,8,0.06125,52
3089.933556,4,16,0.66,12,0.055,52
3088.931447,53,74,0.72,21,0.034285714,52
3087.761749,55,71,0.55,16,0.034375,52
3087.136724,57,70,0.44,13,0.033846154,52
3084.145854,56,70,0.48,14,0.034285714,52
3081.44922,43,52,0.32,9,0.035555556,52
3076.06388,61,63,0.07,2,0.035,52
3076.06388,60,64,0.14,4,0.035,52
3076.06388,59,65,0.21,6,0.035,52
3076.06388,58,66,0.28,8,0.035,52
3076.06388,57,67,0.35,10,0.035,52
3075.267022,5,12,0.45,7,0.064285714,52
3073.003209,6,11,0.29,5,0.058,52
3070.347377,4,16,0.63,12,0.0525,52
3065.628747,75,80,0.09,5,0.018,52
3059.05641,61,66,0.17,5,0.034,52
3054.079538,56,73,0.57,17,0.033529412,52
3054.079538,52,78,0.87,26,0.033461538,52
3046.534798,51,79,0.94,28,0.033571429,52
3043.354643,44,49,0.19,5,0.038,52
3040.832404,63,66,0.1,3,0.033333333,52
3040.832404,60,69,0.3,9,0.033333333,52
3036.921259,54,75,0.71,21,0.033809524,52
3036.542533,71,85,0.25,14,0.017857143,52
3033.760145,59,70,0.37,11,0.033636364,52
3033.584437,61,67,0.2,6,0.033333333,52
3033.547635,55,74,0.64,19,0.033684211,52
3033.293726,59,76,0.54,17,0.031764706,52
3030.973613,6,11,0.3,5,0.06,52
3030.971725,61,69,0.26,8,0.0325,52
3030.677287,57,72,0.5,15,0.033333333,52
3028.400352,60,76,0.49,16,0.030625,52
3021.450399,43,51,0.29,8,0.03625,52
3017.652894,72,83,0.2,11,0.018181818,52
3014.180964,59,80,0.49,21,0.023333333,52
3013.612899,59,69,0.34,10,0.034,52
3013.057181,57,71,0.47,14,0.033571429,52
3011.922607,70,85,0.27,15,0.018,52
3010.264342,60,68,0.27,8,0.03375,52
3007.765185,44,50,0.22,6,0.036666667,52
