% profit,ema1,ema2,threshold,diff,thresh / diff,ID
3732.130697,67,89,0.39,22,0.017727273,49
3701.326858,70,85,0.27,15,0.018,49
3694.53175,75,80,0.09,5,0.018,49
3629.280583,69,87,0.32,18,0.017777778,49
3600.129645,66,91,0.44,25,0.0176,49
3544.21725,66,90,0.43,24,0.017916667,49
3544.186585,74,80,0.11,6,0.018333333,49
3495.490751,52,73,0.72,21,0.034285714,49
3484.255104,66,82,0.31,16,0.019375,49
3481.10576,51,74,0.79,23,0.034347826,49
3470.027001,68,89,0.37,21,0.017619048,49
3462.56642,71,85,0.25,14,0.017857143,49
3456.629649,50,75,0.86,25,0.0344,49
3410.694304,65,92,0.48,27,0.017777778,49
3394.280476,62,76,0.41,14,0.029285714,49
3391.089169,68,87,0.34,19,0.017894737,49
3391.088424,65,83,0.35,18,0.019444444,49
3384.729143,61,76,0.44,15,0.029333333,49
3382.003516,60,77,0.5,17,0.029411765,49
3374.261298,66,68,0.06,2,0.03,49
3374.261298,65,69,0.12,4,0.03,49
3374.261298,64,70,0.18,6,0.03,49
3362.493155,73,82,0.16,9,0.017777778,49
3351.687619,69,85,0.3,16,0.01875,49
3344.514665,63,75,0.35,12,0.029166667,49
3341.145635,65,91,0.47,26,0.018076923,49
3340.137058,62,75,0.38,13,0.029230769,49
3334.380136,72,83,0.2,11,0.018181818,49
3334.380136,69,86,0.31,17,0.018235294,49
3334.380136,68,87,0.35,19,0.018421053,49
3334.380136,67,89,0.4,22,0.018181818,49
3334.380136,64,92,0.51,28,0.018214286,49
3333.394561,64,74,0.29,10,0.029,49
3328.612755,60,65,0.17,5,0.034,49
3319.447552,74,81,0.13,7,0.018571429,49
3312.816057,73,81,0.15,8,0.01875,49
3312.816057,67,88,0.39,21,0.018571429,49
3304.982482,65,85,0.38,20,0.019,49
3296.133515,71,84,0.24,13,0.018461538,49
3295.703483,66,90,0.44,24,0.018333333,49
3289.285504,64,93,0.52,29,0.017931034,49
3282.917217,61,95,0.63,34,0.018529412,49
3281.487042,68,81,0.25,13,0.019230769,49
3276.687725,55,75,0.64,20,0.032,49
3275.925848,68,88,0.36,20,0.018,49
3272.760584,63,93,0.55,30,0.018333333,49
3272.760584,63,94,0.56,31,0.018064516,49
3272.760584,62,94,0.59,32,0.0184375,49
3258.330912,70,79,0.17,9,0.018888889,49
3257.933596,67,81,0.27,14,0.019285714,49
3257.792644,72,84,0.22,12,0.018333333,49
3256.708356,64,86,0.43,22,0.019545455,49
3256.242934,68,82,0.27,14,0.019285714,49
3255.394651,66,92,0.46,26,0.017692308,49
3254.654979,60,69,0.29,9,0.032222222,49
3254.654979,58,71,0.42,13,0.032307692,49
3254.654979,56,73,0.55,17,0.032352941,49
3252.096893,65,90,0.45,25,0.018,49
3251.583407,65,91,0.48,26,0.018461538,49
3251.11669,67,90,0.41,23,0.017826087,49
3249.155771,55,73,0.59,18,0.032777778,49
3248.133198,69,87,0.33,18,0.018333333,49
3243.928184,67,83,0.31,16,0.019375,49
3243.672129,68,80,0.23,12,0.019166667,49
3242.667052,53,76,0.75,23,0.032608696,49
3242.349212,57,71,0.46,14,0.032857143,49
3241.108669,53,72,0.65,19,0.034210526,49
3240.51689,58,67,0.31,9,0.034444444,49
3239.916134,54,71,0.58,17,0.034117647,49
3239.844124,69,85,0.29,16,0.018125,49
3234.118827,55,70,0.51,15,0.034,49
3231.344958,73,83,0.18,10,0.018,49
3231.344958,70,86,0.29,16,0.018125,49
3231.344958,66,91,0.45,25,0.018,49
3225.128404,69,81,0.23,12,0.019166667,49
3224.718759,69,77,0.16,8,0.02,49
3222.823485,51,76,0.84,25,0.0336,49
3221.075222,59,66,0.24,7,0.034285714,49
3219.644153,67,88,0.38,21,0.018095238,49
3218.602935,55,71,0.54,16,0.03375,49
3218.602935,54,72,0.61,18,0.033888889,49
3215.312314,68,78,0.2,10,0.02,49
3215.312314,67,79,0.24,12,0.02,49
3214.330492,69,80,0.21,11,0.019090909,49
3212.25787,70,80,0.19,10,0.019,49
3208.556816,72,82,0.19,10,0.019,49
3207.35024,62,65,0.1,3,0.033333333,49
3207.189409,69,84,0.29,15,0.019333333,49
3203.590509,71,83,0.22,12,0.018333333,49
3201.756799,67,90,0.42,23,0.01826087,49
3201.753861,56,70,0.47,14,0.033571429,49
3201.070035,64,86,0.42,22,0.019090909,49
3200.873709,57,69,0.4,12,0.033333333,49
3200.368523,62,96,0.62,34,0.018235294,49
3198.306429,51,76,0.85,25,0.034,49
3197.942782,59,69,0.33,10,0.033,49
3195.539294,54,76,0.71,22,0.032272727,49
3195.369602,70,83,0.25,13,0.019230769,49
3195.24529,59,67,0.27,8,0.03375,49
3195.102642,62,66,0.13,4,0.0325,49
3195.102642,60,68,0.26,8,0.0325,49
3195.102642,58,70,0.39,12,0.0325,49
3194.759242,50,78,0.94,28,0.033571429,49
3194.292417,64,93,0.53,29,0.018275862,49
3194.125699,63,94,0.57,31,0.018387097,49
3194.073731,54,73,0.63,19,0.033157895,49
3193.501051,64,92,0.5,28,0.017857143,49
3193.387378,52,75,0.77,23,0.033478261,49
3192.939922,52,75,0.78,23,0.033913043,49
3192.364831,55,74,0.62,19,0.032631579,49
3191.658845,54,74,0.66,20,0.033,49
3188.42823,62,97,0.63,35,0.018,49
3187.6469,63,95,0.58,32,0.018125,49
3184.777494,58,68,0.34,10,0.034,49
3184.572431,59,68,0.3,9,0.033333333,49
3184.572431,56,71,0.5,15,0.033333333,49
3184.156588,63,87,0.47,24,0.019583333,49
3182.700279,59,70,0.36,11,0.032727273,49
3182.374108,68,89,0.38,21,0.018095238,49
3182.374108,64,94,0.54,30,0.018,49
