% profit,ema1,ema2,threshold,diff,thresh / diff,ID
4446.3168,49,77,0.95,28,0.033928571,43
4133.522649,49,76,0.94,27,0.034814815,43
4131.580815,49,77,0.96,28,0.034285714,43
4084.773201,51,75,0.81,24,0.03375,43
4070.625406,50,76,0.88,26,0.033846154,43
4052.921925,65,72,0.2,7,0.028571429,43
4030.807767,56,68,0.42,12,0.035,43
4030.807767,55,69,0.49,14,0.035,43
4030.807767,51,74,0.8,23,0.034782609,43
4011.375561,52,74,0.74,22,0.033636364,43
4008.450051,63,73,0.29,10,0.029,43
4004.01864,50,75,0.88,25,0.0352,43
4000.710272,50,75,0.87,25,0.0348,43
4000.640742,50,74,0.85,24,0.035416667,43
4000.053121,51,73,0.78,22,0.035454545,43
3999.604944,49,76,0.95,27,0.035185185,43
3973.659982,51,75,0.82,24,0.034166667,43
3973.659982,50,76,0.89,26,0.034230769,43
3970.219487,51,74,0.81,23,0.035217391,43
3962.637168,55,71,0.54,16,0.03375,43
3949.833797,50,77,0.91,27,0.033703704,43
3948.608353,57,69,0.4,12,0.033333333,43
3943.176219,53,74,0.7,21,0.033333333,43
3933.257537,59,67,0.27,8,0.03375,43
3933.257537,54,72,0.61,18,0.033888889,43
3931.40756,56,71,0.5,15,0.033333333,43
3931.40756,52,75,0.77,23,0.033478261,43
3931.356237,56,70,0.47,14,0.033571429,43
3929.971563,50,78,0.93,28,0.033214286,43
3927.508698,51,76,0.84,25,0.0336,43
3924.57932,64,73,0.26,9,0.028888889,43
3921.204623,51,76,0.83,25,0.0332,43
3919.360174,50,77,0.9,27,0.033333333,43
3919.360174,49,78,0.97,29,0.033448276,43
3915.265539,60,66,0.2,6,0.033333333,43
3914.081404,49,78,0.98,29,0.033793103,43
3913.423815,57,70,0.43,13,0.033076923,43
3910.073849,54,73,0.63,19,0.033157895,43
3902.37809,52,75,0.76,23,0.033043478,43
3899.297823,60,77,0.49,17,0.028823529,43
3894.17721,60,73,0.39,13,0.03,43
3892.646426,53,73,0.68,20,0.034,43
3891.245582,54,74,0.66,20,0.033,43
3890.941243,59,70,0.35,11,0.031818182,43
3888.99511,57,72,0.48,15,0.032,43
3886.258237,49,79,0.99,30,0.033,43
3883.836912,51,77,0.86,26,0.033076923,43
3883.362084,56,73,0.54,17,0.031764706,43
3882.472456,59,66,0.24,7,0.034285714,43
3877.730787,52,74,0.75,22,0.034090909,43
3876.647742,53,72,0.66,19,0.034736842,43
3876.647742,52,73,0.73,21,0.034761905,43
3874.000765,53,77,0.76,24,0.031666667,43
3873.030829,62,74,0.35,12,0.029166667,43
3873.030829,61,75,0.41,14,0.029285714,43
3872.588726,59,78,0.55,19,0.028947368,43
3869.416011,58,69,0.36,11,0.032727273,43
3869.416011,55,72,0.56,17,0.032941176,43
3869.376889,55,75,0.63,20,0.0315,43
3867.595317,51,77,0.85,26,0.032692308,43
3866.713673,54,75,0.67,21,0.031904762,43
3865.292659,66,67,0.03,1,0.03,43
3865.292659,65,68,0.09,3,0.03,43
3865.292659,64,69,0.15,5,0.03,43
3865.292659,63,70,0.21,7,0.03,43
3865.292659,62,71,0.27,9,0.03,43
3865.292659,61,72,0.33,11,0.03,43
3864.283604,50,78,0.92,28,0.032857143,43
3863.491322,57,71,0.45,14,0.032142857,43
3862.100899,58,67,0.31,9,0.034444444,43
3854.726088,57,67,0.35,10,0.035,43
3852.651344,61,67,0.19,6,0.031666667,43
3849.470441,53,76,0.74,23,0.032173913,43
3846.497155,60,76,0.47,16,0.029375,43
3845.793864,61,68,0.22,7,0.031428571,43
3842.798472,58,70,0.39,12,0.0325,43
3842.798472,56,72,0.52,16,0.0325,43
3842.798472,55,74,0.61,19,0.032105263,43
3842.660446,53,74,0.69,21,0.032857143,43
3842.08858,49,77,0.97,28,0.034642857,43
3839.620651,59,69,0.32,10,0.032,43
3836.79607,58,79,0.61,21,0.029047619,43
3834.565428,62,66,0.13,4,0.0325,43
3834.565428,60,68,0.26,8,0.0325,43
3830.087762,61,63,0.07,2,0.035,43
3830.087762,60,64,0.14,4,0.035,43
3830.087762,59,65,0.21,6,0.035,43
3830.087762,58,66,0.28,8,0.035,43
3827.64349,58,71,0.41,13,0.031538462,43
3822.156453,57,68,0.38,11,0.034545455,43
3822.156453,56,69,0.45,13,0.034615385,43
3822.156453,55,70,0.52,15,0.034666667,43
3822.156453,54,71,0.59,17,0.034705882,43
3821.964073,50,79,0.94,29,0.032413793,43
3817.135285,60,67,0.23,7,0.032857143,43
3815.338571,54,74,0.65,20,0.0325,43
3815.338571,53,75,0.72,22,0.032727273,43
3815.010406,52,76,0.78,24,0.0325,43
3814.285475,55,73,0.59,18,0.032777778,43
3813.054233,57,71,0.46,14,0.032857143,43
3812.182883,55,73,0.58,18,0.032222222,43
3812.182883,53,75,0.71,22,0.032272727,43
3812.070477,52,76,0.79,24,0.032916667,43
3811.712598,52,78,0.83,26,0.031923077,43
3810.415861,50,76,0.9,26,0.034615385,43
3810.190179,56,71,0.49,15,0.032666667,43
3809.513866,62,67,0.16,5,0.032,43
3809.097183,59,77,0.53,18,0.029444444,43
3809.097183,58,78,0.59,20,0.0295,43
3809.097183,57,79,0.65,22,0.029545455,43
3805.104414,52,77,0.81,25,0.0324,43
3790.347886,55,72,0.57,17,0.033529412,43
3789.101781,53,76,0.75,23,0.032608696,43
3784.222985,58,71,0.42,13,0.032307692,43
3781.221998,57,69,0.41,12,0.034166667,43
3780.860548,49,77,0.98,28,0.035,43
3776.864007,54,75,0.68,21,0.032380952,43
3775.315339,54,76,0.7,22,0.031818182,43
3774.848835,57,78,0.63,21,0.03,43
3774.848835,56,79,0.69,23,0.03,43
3768.768643,60,69,0.29,9,0.032222222,43
3766.719431,54,73,0.64,19,0.033684211,43
3766.033825,62,65,0.1,3,0.033333333,43
3764.135543,60,74,0.42,14,0.03,43
3764.135543,59,75,0.48,16,0.03,43
3764.135543,58,76,0.54,18,0.03,43
3764.135543,57,77,0.6,20,0.03,43
3762.380906,51,79,0.9,28,0.032142857,43
3760.103462,56,80,0.71,24,0.029583333,43
3759.157014,50,80,0.97,30,0.032333333,43
3754.315784,56,73,0.55,17,0.032352941,43
3754.315784,53,77,0.77,24,0.032083333,43
3752.943011,58,68,0.34,10,0.034,43
3752.943011,53,74,0.71,21,0.033809524,43
3752.740058,50,80,0.98,30,0.032666667,43
3742.229783,59,68,0.3,9,0.033333333,43
3742.062821,52,77,0.82,25,0.0328,43
3739.714794,51,78,0.89,27,0.032962963,43
3738.531982,58,69,0.37,11,0.033636364,43
3738.337972,59,72,0.4,13,0.030769231,43
3735.395315,51,78,0.88,27,0.032592593,43
3735.395315,50,79,0.95,29,0.032758621,43
3735.241191,49,78,0.99,29,0.034137931,43
3734.529031,51,79,0.92,28,0.032857143,43
3734.345857,51,79,0.91,28,0.0325,43
