% profit,ema1,ema2,threshold,diff,thresh / diff,ID
3888.527369,37,52,0.53,15,0.035333333,27
3865.158832,38,51,0.46,13,0.035384615,27
3858.918865,40,48,0.29,8,0.03625,27
3840.294647,39,50,0.39,11,0.035454545,27
3763.504335,35,55,0.7,20,0.035,27
3697.771331,36,54,0.63,18,0.035,27
3693.746779,36,49,0.53,13,0.040769231,27
3671.223374,53,73,0.69,20,0.0345,27
3634.285818,42,46,0.15,4,0.0375,27
3634.285818,40,48,0.3,8,0.0375,27
3633.530274,52,74,0.76,22,0.034545455,27
3633.1239,59,66,0.24,7,0.034285714,27
3616.24784,54,72,0.62,18,0.034444444,27
3616.163797,54,71,0.59,17,0.034705882,27
3614.91592,58,67,0.31,9,0.034444444,27
3606.939777,57,68,0.38,11,0.034545455,27
3602.063675,56,69,0.45,13,0.034615385,27
3602.063675,55,70,0.52,15,0.034666667,27
3598.475964,39,46,0.28,7,0.04,27
3593.332637,56,70,0.48,14,0.034285714,27
3590.460758,58,69,0.37,11,0.033636364,27
3586.374633,41,47,0.23,6,0.038333333,27
3584.926899,55,71,0.55,16,0.034375,27
3578.392663,39,49,0.38,10,0.038,27
3578.392663,38,50,0.46,12,0.038333333,27
3567.320219,60,72,0.38,12,0.031666667,27
3563.893244,52,75,0.79,23,0.034347826,27
3563.893244,51,76,0.86,25,0.0344,27
3558.074874,63,69,0.19,6,0.031666667,27
3556.739964,49,63,0.39,14,0.027857143,27
3556.060253,44,51,0.26,7,0.037142857,27
3555.974232,43,44,0.04,1,0.04,27
3555.974232,42,45,0.12,3,0.04,27
3555.974232,41,46,0.2,5,0.04,27
3548.70367,34,52,0.72,18,0.04,27
3543.797173,60,73,0.41,13,0.031538462,27
3543.797173,57,76,0.6,19,0.031578947,27
3537.629778,58,68,0.34,10,0.034,27
3537.060364,58,75,0.54,17,0.031764706,27
3534.788785,58,74,0.51,16,0.031875,27
3534.788785,56,76,0.64,20,0.032,27
3530.574925,63,68,0.16,5,0.032,27
3530.097185,55,72,0.58,17,0.034117647,27
3527.572725,36,53,0.63,17,0.037058824,27
3526.539854,38,50,0.47,12,0.039166667,27
3522.60108,46,67,0.58,21,0.027619048,27
3521.548148,61,71,0.32,10,0.032,27
3521.548148,59,73,0.45,14,0.032142857,27
3521.548148,57,75,0.58,18,0.032222222,27
3521.548148,55,77,0.71,22,0.032272727,27
3521.313524,57,69,0.41,12,0.034166667,27
3516.166592,50,61,0.31,11,0.028181818,27
3514.679422,38,52,0.48,14,0.034285714,27
3514.097914,61,67,0.2,6,0.033333333,27
3514.097914,58,70,0.4,12,0.033333333,27
3513.377714,60,71,0.36,11,0.032727273,27
3510.402826,58,73,0.49,15,0.032666667,27
3506.833025,56,71,0.51,15,0.034,27
3506.692283,57,70,0.44,13,0.033846154,27
3506.115461,47,65,0.49,18,0.027222222,27
3505.373303,54,73,0.65,19,0.034210526,27
3505.373303,53,74,0.72,21,0.034285714,27
3505.051149,56,77,0.67,21,0.031904762,27
3505.051149,54,79,0.8,25,0.032,27
3504.518901,56,75,0.62,19,0.032631579,27
3502.621736,48,64,0.43,16,0.026875,27
3502.554176,51,61,0.27,10,0.027,27
3500.67466,32,56,0.92,24,0.038333333,27
3496.366256,55,68,0.47,13,0.036153846,27
3495.295336,51,80,0.96,29,0.033103448,27
3494.135984,53,79,0.85,26,0.032692308,27
3493.953591,55,78,0.74,23,0.032173913,27
3493.256426,53,80,0.87,27,0.032222222,27
3493.256333,54,78,0.79,24,0.032916667,27
3491.477007,34,55,0.77,21,0.036666667,27
3491.444058,58,74,0.52,16,0.0325,27
3491.316639,40,48,0.31,8,0.03875,27
3490.040573,63,67,0.13,4,0.0325,27
3489.538041,56,70,0.49,14,0.035,27
3489.538041,55,71,0.56,16,0.035,27
3489.538041,54,72,0.63,18,0.035,27
3489.538041,51,76,0.87,25,0.0348,27
3488.487228,56,76,0.65,20,0.0325,27
3488.487228,54,78,0.78,24,0.0325,27
3487.78803,59,72,0.43,13,0.033076923,27
3487.24143,42,72,0.82,30,0.027333333,27
3487.081147,36,50,0.55,14,0.039285714,27
3486.312301,56,67,0.4,11,0.036363636,27
3485.949481,36,51,0.57,15,0.038,27
3485.609314,55,76,0.69,21,0.032857143,27
3485.261474,61,70,0.29,9,0.032222222,27
3485.261474,59,72,0.42,13,0.032307692,27
3484.008907,35,53,0.67,18,0.037222222,27
3481.739864,37,50,0.49,13,0.037692308,27
3481.660318,38,53,0.51,15,0.034,27
3481.370826,55,77,0.72,22,0.032727273,27
3480.872163,61,69,0.26,8,0.0325,27
3480.872163,59,71,0.39,12,0.0325,27
3480.461124,38,51,0.48,13,0.036923077,27
3479.418522,57,74,0.55,17,0.032352941,27
3475.534214,52,80,0.92,28,0.032857143,27
3474.763254,60,69,0.31,9,0.034444444,27
3472.363079,42,43,0.04,1,0.04,27
3472.363079,41,44,0.12,3,0.04,27
3472.363079,40,45,0.2,5,0.04,27
3472.251938,54,77,0.75,23,0.032608696,27
3472.183802,49,64,0.4,15,0.026666667,27
3469.593088,56,86,0.78,30,0.026,27
3469.520418,59,64,0.18,5,0.036,27
3467.536649,55,73,0.62,18,0.034444444,27
3467.536649,54,74,0.69,20,0.0345,27
3467.536649,53,75,0.76,22,0.034545455,27
3466.803011,58,72,0.47,14,0.033571429,27
3466.464017,37,53,0.55,16,0.034375,27
3465.540259,39,49,0.39,10,0.039,27
3462.763156,34,54,0.79,20,0.0395,27
3461.258325,53,78,0.82,25,0.0328,27
3460.370121,50,78,0.96,28,0.034285714,27
3459.40764,57,71,0.47,14,0.033571429,27
3459.289704,58,72,0.46,14,0.032857143,27
3458.615315,34,53,0.76,19,0.04,27
3458.615315,33,55,0.87,22,0.039545455,27
3458.615315,32,56,0.95,24,0.039583333,27
3457.845583,56,72,0.54,16,0.03375,27
3457.478104,32,57,0.92,25,0.0368,27
3457.464635,33,56,0.85,23,0.036956522,27
3455.909039,61,66,0.17,5,0.034,27
3455.670819,55,73,0.61,18,0.033888889,27
3455.579095,60,70,0.34,10,0.034,27
3455.118039,44,69,0.69,25,0.0276,27
3454.866284,54,77,0.76,23,0.033043478,27
3453.43229,57,74,0.56,17,0.032941176,27
3451.731244,34,54,0.75,20,0.0375,27
3451.674591,57,74,0.57,17,0.033529412,27
3451.67162,56,75,0.64,19,0.033684211,27
3450.159781,54,89,0.9,35,0.025714286,27
3450.159781,53,91,0.97,38,0.025526316,27
3449.420718,35,57,0.74,22,0.033636364,27
3449.347755,54,89,0.91,35,0.026,27
3448.787061,52,79,0.89,27,0.032962963,27
3447.578388,60,67,0.24,7,0.034285714,27
3447.578388,59,68,0.31,9,0.034444444,27
3447.346844,43,70,0.72,27,0.026666667,27
3446.642959,56,75,0.63,19,0.033157895,27
3445.535514,54,74,0.68,20,0.034,27
3443.857067,47,66,0.51,19,0.026842105,27
3442.727193,60,70,0.33,10,0.033,27
3442.478294,62,64,0.07,2,0.035,27
3442.478294,61,65,0.14,4,0.035,27
3442.478294,58,69,0.38,11,0.034545455,27
3442.478294,57,70,0.45,13,0.034615385,27
3442.478294,56,71,0.52,15,0.034666667,27
3442.478294,55,72,0.59,17,0.034705882,27
3442.478294,54,73,0.66,19,0.034736842,27
3442.478294,53,74,0.73,21,0.034761905,27
3440.577895,60,66,0.21,6,0.035,27
3440.577895,59,67,0.28,8,0.035,27
3440.577895,58,68,0.35,10,0.035,27
3440.577895,57,69,0.42,12,0.035,27
3440.577895,52,75,0.8,23,0.034782609,27
3438.386107,59,71,0.41,12,0.034166667,27
3438.386107,58,72,0.48,14,0.034285714,27
3437.89539,56,74,0.59,18,0.032777778,27
3437.46615,53,75,0.75,22,0.034090909,27
3437.46615,52,76,0.82,24,0.034166667,27
3437.46615,51,77,0.89,26,0.034230769,27
3436.92911,37,52,0.56,15,0.037333333,27
3435.164553,55,88,0.85,33,0.025757576,27
3432.621506,51,81,0.99,30,0.033,27
3432.380594,56,72,0.55,16,0.034375,27
3432.380594,52,76,0.83,24,0.034583333,27
3432.380594,51,77,0.9,26,0.034615385,27
3431.936891,56,87,0.8,31,0.025806452,27
3431.516377,62,68,0.2,6,0.033333333,27
3431.516377,59,71,0.4,12,0.033333333,27
3431.370141,34,52,0.73,18,0.040555556,27
3431.089899,62,69,0.23,7,0.032857143,27
3429.715955,58,73,0.5,15,0.033333333,27
3429.213143,46,66,0.54,20,0.027,27
3426.163319,39,48,0.35,9,0.038888889,27
3425.937003,57,73,0.53,16,0.033125,27
3425.477084,56,74,0.6,18,0.033333333,27
3423.350078,40,47,0.27,7,0.038571429,27
3422.395586,57,85,0.73,28,0.026071429,27
3421.446379,53,90,0.96,37,0.025945946,27
3417.848053,51,80,0.98,29,0.033793103,27
3416.571958,55,75,0.66,20,0.033,27
3415.252203,59,84,0.64,25,0.0256,27
3410.747385,35,51,0.64,16,0.04,27
3408.194147,33,56,0.86,23,0.037391304,27
3407.177517,60,82,0.57,22,0.025909091,27
3406.232412,54,90,0.92,36,0.025555556,27
3405.5334,36,52,0.6,16,0.0375,27
