% profit,ema1,ema2,threshold,diff,thresh / diff,ID
3563.187496,37,52,0.57,15,0.038,31
3546.304013,42,48,0.22,6,0.036666667,31
3504.741481,36,53,0.65,17,0.038235294,31
3490.58376,36,51,0.58,15,0.038666667,31
3484.121534,37,50,0.5,13,0.038461538,31
3481.705465,63,74,0.32,11,0.029090909,31
3479.266957,60,71,0.36,11,0.032727273,31
3460.420385,62,69,0.23,7,0.032857143,31
3457.995082,53,85,0.91,32,0.0284375,31
3452.266973,63,66,0.1,3,0.033333333,31
3450.257048,60,70,0.33,10,0.033,31
3445.592546,40,47,0.26,7,0.037142857,31
3440.668685,32,56,0.92,24,0.038333333,31
3434.712102,57,73,0.53,16,0.033125,31
3433.710674,52,86,0.97,34,0.028529412,31
3430.821061,52,85,0.96,33,0.029090909,31
3427.606042,39,47,0.31,8,0.03875,31
3423.165793,38,49,0.42,11,0.038181818,31
3419.93268,64,73,0.26,9,0.028888889,31
3419.93268,61,77,0.46,16,0.02875,31
3416.632957,40,46,0.23,6,0.038333333,31
3406.775152,40,49,0.34,9,0.037777778,31
3384.695642,59,79,0.58,20,0.029,31
3383.861587,38,48,0.39,10,0.039,31
3382.565392,45,54,0.31,9,0.034444444,31
3369.862568,45,53,0.28,8,0.035,31
3369.862568,44,54,0.35,10,0.035,31
3365.764507,66,72,0.17,6,0.028333333,31
3353.818219,62,76,0.4,14,0.028571429,31
3351.898368,36,51,0.57,15,0.038,31
3337.299791,61,78,0.48,17,0.028235294,31
3337.299791,60,79,0.54,19,0.028421053,31
3334.133996,41,52,0.4,11,0.036363636,31
3330.610031,62,68,0.2,6,0.033333333,31
3330.318597,60,78,0.52,18,0.028888889,31
3324.384713,42,45,0.11,3,0.036666667,31
3320.554266,57,74,0.56,17,0.032941176,31
3320.289976,48,50,0.07,2,0.035,31
3320.289976,47,51,0.14,4,0.035,31
3320.289976,46,52,0.21,6,0.035,31
3318.245858,41,46,0.19,5,0.038,31
3317.575762,56,75,0.63,19,0.033157895,31
3316.698822,57,87,0.8,30,0.026666667,31
3313.312608,44,49,0.18,5,0.036,31
3312.789099,44,55,0.38,11,0.034545455,31
3312.789099,43,56,0.45,13,0.034615385,31
3307.874614,59,72,0.43,13,0.033076923,31
3303.825269,61,69,0.27,8,0.03375,31
3303.800449,34,59,0.93,25,0.0372,31
3302.340078,39,50,0.42,11,0.038181818,31
3302.053708,59,80,0.6,21,0.028571429,31
3300.423101,37,53,0.59,16,0.036875,31
3300.034003,59,71,0.4,12,0.033333333,31
3298.48344,36,50,0.55,14,0.039285714,31
3297.415478,61,66,0.17,5,0.034,31
3295.85883,32,57,0.95,25,0.038,31
3292.324697,33,55,0.85,22,0.038636364,31
3291.925,40,52,0.45,12,0.0375,31
3287.962671,33,55,0.84,22,0.038181818,31
3287.962671,32,57,0.94,25,0.0376,31
3287.656921,35,52,0.65,17,0.038235294,31
3285.884703,38,55,0.61,17,0.035882353,31
3283.175392,58,81,0.66,23,0.028695652,31
3282.145085,58,72,0.47,14,0.033571429,31
3277.810058,34,54,0.77,20,0.0385,31
3277.796868,56,74,0.6,18,0.033333333,31
3277.451604,38,51,0.5,13,0.038461538,31
3275.375881,34,53,0.73,19,0.038421053,31
3274.819089,34,54,0.76,20,0.038,31
3274.428089,55,90,0.93,35,0.026571429,31
3274.122709,59,85,0.69,26,0.026538462,31
3274.122709,56,89,0.87,33,0.026363636,31
3274.122709,55,91,0.94,36,0.026111111,31
3269.389683,37,49,0.47,12,0.039166667,31
3269.010626,57,82,0.72,25,0.0288,31
3268.23041,51,62,0.27,11,0.024545455,31
3266.203345,39,49,0.38,10,0.038,31
3262.400455,55,84,0.81,29,0.027931034,31
3260.252284,38,54,0.58,16,0.03625,31
3259.72854,57,85,0.77,28,0.0275,31
3259.450159,63,77,0.39,14,0.027857143,31
3259.450159,60,81,0.58,21,0.027619048,31
3257.566309,32,56,0.93,24,0.03875,31
3255.061415,42,58,0.55,16,0.034375,31
3255.044202,33,59,0.96,26,0.036923077,31
3254.120895,35,55,0.75,20,0.0375,31
3251.535522,43,49,0.22,6,0.036666667,31
3251.418042,61,68,0.24,7,0.034285714,31
3250.917027,35,53,0.66,18,0.036666667,31
3250.096695,59,70,0.37,11,0.033636364,31
3249.930034,57,81,0.69,24,0.02875,31
3249.930034,54,85,0.89,31,0.028709677,31
3249.80496,56,72,0.55,16,0.034375,31
3249.126959,33,54,0.82,21,0.039047619,31
3248.890345,67,72,0.14,5,0.028,31
3248.890345,61,79,0.5,18,0.027777778,31
3246.766942,63,75,0.34,12,0.028333333,31
3246.766942,60,78,0.51,18,0.028333333,31
3246.644728,57,73,0.54,16,0.03375,31
3244.725849,55,75,0.68,20,0.034,31
3244.556573,58,84,0.71,26,0.027307692,31
3244.450401,56,74,0.61,18,0.033888889,31
3243.602308,39,49,0.36,10,0.036,31
3241.553387,54,76,0.74,22,0.033636364,31
3241.553387,53,77,0.81,24,0.03375,31
3241.2015,65,76,0.3,11,0.027272727,31
3239.457974,58,86,0.74,28,0.026428571,31
3239.148826,61,77,0.45,16,0.028125,31
3239.148826,57,82,0.7,25,0.028,31
3238.278103,42,70,0.93,28,0.033214286,31
3236.538682,38,51,0.49,13,0.037692308,31
3234.682611,62,67,0.17,5,0.034,31
3234.355428,60,80,0.56,20,0.028,31
3234.095362,50,63,0.32,13,0.024615385,31
3232.401517,36,50,0.54,14,0.038571429,31
3230.860439,33,56,0.86,23,0.037391304,31
3230.108094,54,85,0.87,31,0.028064516,31
3229.677711,60,82,0.6,22,0.027272727,31
3229.677711,59,84,0.67,25,0.0268,31
3229.677711,58,85,0.73,27,0.027037037,31
3229.609468,58,71,0.44,13,0.033846154,31
3229.609468,55,75,0.67,20,0.0335,31
3228.151407,41,59,0.62,18,0.034444444,31
3226.94484,53,87,0.92,34,0.027058824,31
3226.80541,34,59,0.92,25,0.0368,31
3225.270414,34,56,0.83,22,0.037727273,31
3223.585051,63,78,0.41,15,0.027333333,31
3223.585051,61,80,0.52,19,0.027368421,31
3223.585051,59,83,0.65,24,0.027083333,31
3222.655138,65,77,0.32,12,0.026666667,31
3222.655138,62,81,0.5,19,0.026315789,31
3222.583418,54,86,0.87,32,0.0271875,31
3221.999757,42,50,0.29,8,0.03625,31
3220.889472,35,53,0.68,18,0.037777778,31
3220.434458,35,58,0.85,23,0.036956522,31
3220.415547,46,51,0.18,5,0.036,31
3219.279568,58,80,0.63,22,0.028636364,31
3219.279568,56,83,0.77,27,0.028518519,31
3219.279568,55,84,0.83,29,0.02862069,31
3219.254206,55,84,0.82,29,0.028275862,31
3219.115432,52,88,0.98,36,0.027222222,31
3218.979179,59,79,0.57,20,0.0285,31
3218.254301,52,87,0.98,35,0.028,31
3216.506313,59,78,0.55,19,0.028947368,31
3216.330795,57,88,0.81,31,0.026129032,31
3216.029501,35,51,0.63,16,0.039375,31
3214.554092,32,57,0.96,25,0.0384,31
3213.499079,57,82,0.69,25,0.0276,31
3213.499079,56,83,0.75,27,0.027777778,31
3213.499079,53,87,0.94,34,0.027647059,31
3213.308503,57,84,0.75,27,0.027777778,31
3213.194022,37,51,0.51,14,0.036428571,31
3213.148009,64,75,0.31,11,0.028181818,31
3212.86414,40,50,0.37,10,0.037,31
3212.51461,42,47,0.19,5,0.038,31
3212.450519,68,72,0.11,4,0.0275,31
3212.450519,66,74,0.22,8,0.0275,31
3212.450519,64,76,0.33,12,0.0275,31
3212.302216,33,56,0.87,23,0.037826087,31
3210.688232,36,57,0.76,21,0.036190476,31
3210.624801,39,51,0.44,12,0.036666667,31
3210.131194,42,46,0.15,4,0.0375,31
3210.083995,34,58,0.87,24,0.03625,31
3209.488539,55,87,0.83,32,0.0259375,31
3207.86872,36,52,0.58,16,0.03625,31
3207.837556,37,57,0.71,20,0.0355,31
3207.110639,52,89,0.98,37,0.026486486,31
3206.965607,36,57,0.77,21,0.036666667,31
3206.073165,37,56,0.68,19,0.035789474,31
3205.007536,60,79,0.53,19,0.027894737,31
3204.697993,34,57,0.86,23,0.037391304,31
3203.248737,37,56,0.69,19,0.036315789,31
3202.397021,65,73,0.23,8,0.02875,31
3202.397021,64,74,0.29,10,0.029,31
3202.166942,60,83,0.61,23,0.026521739,31
3200.743193,40,48,0.3,8,0.0375,31
