date,open,high,low,close
1309105980,17.51001,17.51001,17.51001,17.51001
1309109580,17.51001,17.51001,15,15
1309113180,16,16.49999,14.16466,14.8418
1309116780,14.8418,14.8418,14.01,14.19999
1309120380,14.19999,16.49999,14.11999,16.48
1309123980,16.41,16.49,16.11,16.11
1309127580,16.10359,16.41,16.001,16.41
1309131180,16.41,16.466,16.2,16.2499
1309134780,16.2499,16.5,16.001,16.44001
1309138380,16.44001,16.95,16.4001,16.95
1309141980,16.9552,17.95,16.19999,16.73501
1309145580,16.75,18,15,16.99981
1309149180,17,17.1899,16.821,16.9801
1309152780,16.9602,17.73,16.95,17.22669
1309156380,17.2267,17.37999,17.18999,17.21999
1309159980,17.2013,17.40999,17.20001,17.35001
1309163580,17.35,17.69,17.34,17.3402
1309167180,17.36,17.396,17.29,17.31001
1309170780,17.3102,17.6144,17.031,17.2989
1309174380,17.29891,17.327,17.02,17.1604
1309177980,17.11,17.3,17.011,17.1065
1309181580,17.1065,17.12,16.61,16.74001
1309185180,16.745,17.2356,16.6,16.9501
1309188780,16.9502,17.16,16.9501,17.05
1309192380,17.05029,17.07,16.86001,16.95
1309195980,16.8902,17.1,16.8,17
1309199580,17.00009,17.2,15,16.96183
1309203180,16.92999,16.92999,16.8,16.812
1309206780,16.82545,16.8488,16.5,16.779
1309210380,16.77628,16.85,16.68,16.84991
1309213980,16.84991,16.85,16.74,16.75009
1309217580,16.75009,16.75009,16.65,16.6601
1309221180,16.73369,16.73999,16.5,16.6531
1309224780,16.66,16.7237,16.52,16.5299
1309228380,16.5298,16.72391,16.5298,16.7
1309231980,16.7,16.74,16.55,16.65
1309235580,16.65489,16.7108,16.511,16.7
1309239180,16.705,16.75,16.5237,16.62611
1309242780,16.5437,16.653,16.52,16.65
1309246380,16.653,16.71,16.56,16.666
1309249980,16.63681,16.64321,16.56,16.60001
1309253580,16.58,16.7,16.56,16.6979
1309257180,16.6979,16.78999,16.6401,16.7089
1309260780,16.7079,17.1,16.66999,17.03
1309264380,17.0499,17.15,16.97999,17.14
1309267980,17.14,17.211,17,17.05099
1309271580,17.0359,17.12,17,17
1309275180,17,17.52,16.64,17.0908
1309278780,17.0908,17.15,17.01999,17.03979
1309282380,17.03979,17.1,17.0397,17.04
1309285980,17.04,17.07999,17.001,17.0201
1309289580,17.02009,17.17,17.001,17.00101
1309293180,17.00101,17.00989,17.00101,17.00101
1309296780,17.0011,17.069,17.001,17.01155
1309300380,17.00989,17.01,16.9595,16.99999
1309303980,16.99999,16.99999,16.83,16.9
1309307580,16.9099,16.92109,16.83,16.92
1309311180,16.9199,16.9389,16.88001,16.9261
1309314780,16.927,16.9321,16.9001,16.9001
1309318380,16.90639,16.9099,16.834,16.885
1309321980,16.88502,16.88511,16.8798,16.88391
1309325580,16.884,16.92001,16.88,16.91251
1309329180,16.91251,16.9799,16.91,16.95001
1309332780,16.95001,16.96,16.89471,16.89471
1309336380,16.8946,16.9498,16.87769,16.8899
1309339980,16.8899,16.929,16.85,16.88031
1309343580,16.8803,16.929,16.87,16.89989
1309347180,16.89979,16.90991,16.88978,16.88981
1309350780,16.88981,16.89991,16.889,16.889
1309354380,16.88878,16.88899,16.722,16.7999
1309357980,16.79,17,16.77,16.7702
1309361580,16.7701,16.787,16.666,16.75989
1309365180,16.75978,16.94,16.74303,16.9298
1309368780,16.85,17.2,16.76,16.949
1309372380,16.999,17.01,16.71,16.84
1309375980,16.84,16.9,16.84,16.85
1309379580,16.85,16.95,16.83704,16.84
1309383180,16.85,16.9,16.83499,16.85
1309386780,16.84,16.85,16.83,16.84
